Time_seconds,Current,State
0.47375,-0.750732,0
0.475,-0.915527,0
0.47625,-1.0498,0
0.4775,-0.750732,0
0.47875,-0.817871,0
0.48,-0.769043,0
0.48125,-0.421143,0
0.4825,-0.769043,0
0.48375,-0.811768,0
0.485,-0.604248,0
0.48625,-0.616455,0
0.4875,-0.683594,0
0.48875,-0.109863,0
0.49,-0.610352,0
0.49125,-0.45166,0
0.4925,-0.842285,0
0.49375,-0.897217,0
0.495,-0.787354,0
0.49625,-0.476074,0
0.4975,-0.805664,0
0.49875,-0.720215,0
0.5,-0.55542,0
0.50125,-0.543213,0
0.5025,-0.653076,0
0.50375,-0.933838,0
0.505,-0.427246,0
0.50625,-0.836182,0
0.5075,-0.457764,0
0.50875,-1.01929,0
0.51,-0.695801,0
0.51125,-0.646973,0
0.5125,-0.665283,0
0.51375,-0.622559,0
0.515,-0.561523,0
0.51625,-0.88501,0
0.5175,-0.592041,0
0.51875,-0.592041,0
0.52,-0.506592,0
0.52125,-0.634766,0
0.5225,-0.567627,0
0.52375,-0.799561,0
0.525,-0.524902,0
0.52625,-0.488281,0
0.5275,-0.726318,0
0.52875,-0.610352,0
0.53,-0.43335,0
0.53125,-0.323486,0
0.5325,-0.976563,0
0.53375,-0.787354,0
0.535,-0.512695,0
0.53625,-0.720215,0
0.5375,-0.836182,0
0.53875,-0.714111,0
0.54,-0.579834,0
0.54125,-0.793457,0
0.5425,-0.775146,0
0.54375,-0.750732,0
0.545,-0.756836,0
0.54625,-0.708008,0
0.5475,-0.500488,0
0.54875,-0.750732,0
0.55,-0.866699,0
0.55125,-0.744629,0
0.5525,-0.933838,0
0.55375,-0.720215,0
0.555,-0.43335,0
0.55625,-1.06201,0
0.5575,-0.628662,0
0.55875,-0.897217,0
0.56,-0.671387,0
0.56125,-0.610352,0
0.5625,-0.634766,0
0.56375,-0.665283,0
0.565,-0.738525,0
0.56625,-0.78125,0
0.5675,-0.744629,0
0.56875,-0.427246,0
0.57,-0.830078,0
0.57125,-0.775146,0
0.5725,-0.775146,0
0.57375,-0.482178,0
0.575,-0.500488,0
0.57625,-0.836182,0
0.5775,-0.585938,0
0.57875,-0.561523,0
0.58,-0.689697,0
0.58125,-0.830078,0
0.5825,-0.817871,0
0.58375,-0.610352,0
0.585,-0.65918,0
0.58625,-0.604248,0
0.5875,-0.793457,0
0.58875,-0.842285,0
0.59,-0.842285,0
0.59125,-0.268555,0
0.5925,-0.65918,0
0.59375,-0.78125,0
0.595,-0.628662,0
0.59625,-0.628662,0
0.5975,-0.482178,0
0.59875,-0.836182,0
0.6,-0.958252,0
0.60125,-0.45166,0
0.6025,-0.628662,0
0.60375,-0.750732,0
0.605,-0.463867,0
0.60625,-0.732422,0
0.6075,-0.531006,0
0.60875,-0.799561,0
0.61,-0.549316,0
0.61125,-0.689697,0
0.6125,-0.45166,0
0.61375,-0.689697,0
0.615,-0.55542,0
0.61625,-0.775146,0
0.6175,-0.579834,0
0.61875,-0.604248,0
0.62,-0.738525,0
0.62125,-0.854492,0
0.6225,-0.830078,0
0.62375,-0.640869,0
0.625,-0.775146,0
0.62625,-1.00098,0
0.6275,-0.878906,0
0.62875,-0.476074,0
0.63,-0.646973,0
0.63125,-0.268555,0
0.6325,-0.872803,0
0.63375,-0.543213,0
0.635,-0.476074,0
0.63625,-0.708008,0
0.6375,-0.927734,0
0.63875,-0.695801,0
0.64,-0.915527,0
0.64125,-0.610352,0
0.6425,-0.469971,0
0.64375,-0.921631,0
0.645,-0.408936,0
0.64625,-0.817871,0
0.6475,-0.701904,0
0.64875,-0.823975,0
0.65,-0.628662,0
0.65125,-0.482178,0
0.6525,-0.708008,0
0.65375,-0.506592,0
0.655,-0.665283,0
0.65625,-0.848389,0
0.6575,-0.604248,0
0.65875,-0.872803,0
0.66,-0.793457,0
0.66125,-0.952148,0
0.6625,-0.622559,0
0.66375,-0.750732,0
0.665,-0.653076,0
0.66625,-0.817871,0
0.6675,-0.500488,0
0.66875,-0.421143,0
0.67,-0.683594,0
0.67125,-0.683594,0
0.6725,-0.714111,0
0.67375,-0.494385,0
0.675,-0.390625,0
0.67625,-0.628662,0
0.6775,-0.238037,0
0.67875,-0.665283,0
0.68,-0.750732,0
0.68125,-0.384521,0
0.6825,-0.811768,0
0.68375,-0.512695,0
0.685,-0.3479,0
0.68625,-0.897217,0
0.6875,-0.634766,0
0.68875,-0.518799,0
0.69,-0.579834,0
0.69125,-0.488281,0
0.6925,-0.756836,0
0.69375,-0.518799,0
0.695,-0.646973,0
0.69625,-0.463867,0
0.6975,-0.561523,0
0.69875,-0.689697,0
0.7,-0.823975,0
0.70125,-0.665283,0
0.7025,-0.653076,0
0.70375,-0.811768,0
0.705,-0.604248,0
0.70625,-1.11694,0
0.7075,-0.512695,0
0.70875,-0.720215,0
