Time_seconds,Current,State
0.5425,-3.23995,1
0.54375,-2.412923333333333,1
0.545,-1.5258766666666665,1
0.54625,-1.103718,1
0.5475,-1.0559079999999998,1
0.54875,-1.082358,1
0.55,-1.0711683333333333,1
0.55125,-1.072185,1
0.5525,-1.0325116666666665,1
0.55375,-1.0304769999999999,1
0.555,-1.0233569999999999,1
0.55625,-0.9785983333333332,1
0.5575,-0.9918226666666665,1
0.55875,-1.0213226666666666,1
0.56,-1.010133,1
0.56125,-1.0152193333333333,1
0.5625,-0.9887693333333332,1
0.56375,-1.0243743333333333,1
0.565,-1.0904966666666667,1
0.56625,-1.1810333333333334,1
0.5675,-1.1769633333333334,1
0.56875,-1.090496,1
0.57,-0.9674073333333333,1
0.57125,-0.9236653333333332,1
0.5725,-1.0538726666666667,1
0.57375,-1.0599763333333332,1
0.575,-1.1281316666666665,1
0.57625,-0.9775793333333332,1
0.5775,-0.9145096666666666,1
0.57875,-0.9318029999999999,1
0.58,-0.8931473333333333,1
0.58125,-0.9175613333333333,1
0.5825,-0.9297679999999999,1
0.58375,-1.0182693333333332,1
0.585,-1.1199933333333334,1
0.58625,-1.0691316666666666,1
0.5875,-1.0060616666666666,0
0.58875,-0.9236653333333333,0
0.59,-0.8748369999999999,0
0.59125,-0.9440103333333333,0
0.5925,-0.87382,0
0.59375,-1.0040299999999998,0
0.595,-1.0264099999999998,0
0.59625,-0.9602886666666667,0
0.5975,-0.8331306666666667,0
0.59875,-0.8372006666666667,0
0.6,-0.9847023333333332,0
0.60125,-1.0854103333333334,0
0.6025,-1.071167,0
0.60375,-1.1311833333333332,2
0.605,-1.923623333333333,2
0.60625,-2.708943333333333,2
0.6075,-3.5217299999999994,2
0.60875,-3.5715766666666666,2
0.61,-3.7119566666666666,2
0.61125,-3.5898866666666662,2
0.6125,-3.52478,2
0.61375,-3.379313333333333,2
0.615,-3.530883333333333,2
0.61625,-3.549193333333333,2
0.6175,-3.555296666666666,2
0.61875,-3.5237633333333327,2
0.62,-3.527833333333333,2
0.62125,-3.6946633333333327,2
0.6225,-3.651936666666667,2
0.62375,-3.5705566666666666,2
0.625,-3.45052,2
0.62625,-3.5644533333333333,2
0.6275,-3.6671966666666664,2
0.62875,-3.72111,2
0.63,-3.519693333333333,2
0.63125,-3.58683,2
0.6325,-3.57666,2
0.63375,-3.6529533333333335,2
0.635,-3.5756433333333333,2
0.63625,-3.6387099999999997,2
0.6375,-3.6224333333333325,2
0.63875,-3.68652,2
0.64,-3.6020899999999996,2
0.64125,-3.7078866666666666,2
0.6425,-3.6437999999999997,2
0.64375,-3.704833333333333,2
0.645,-3.6549866666666664,2
0.64625,-3.74247,2
0.6475,-3.7190733333333332,2
0.64875,-3.7292466666666666,2
0.65,-3.6397299999999997,2
0.65125,-3.546143333333333,2
0.6525,-3.5898833333333333,2
0.65375,-3.6000533333333333,2
0.655,-3.710933333333333,2
0.65625,-3.6285366666666663,2
0.6575,-3.782143333333333,2
0.65875,-3.84318,2
0.66,-3.9479566666666663,2
0.66125,-3.7851966666666663,2
0.6625,-3.6102299999999996,2
0.66375,-3.54818,2
0.665,-3.5563166666666666,2
0.66625,-3.653973333333333,2
0.6675,-3.7119566666666666,2
0.66875,-3.642783333333333,2
0.67,-3.57361,2
0.67125,-3.57259,2
0.6725,-3.631593333333333,2
0.67375,-3.6254899999999997,2
0.675,-3.5024033333333326,2
0.67625,-3.598023333333333,2
0.6775,-3.693643333333333,2
0.67875,-3.8533533333333327,2
0.68,-3.664143333333333,2
0.68125,-3.512573333333333,2
0.6825,-3.4159333333333333,2
0.68375,-3.548176666666666,2
0.685,-3.6997466666666665,2
0.68625,-3.7567133333333333,2
0.6875,-3.6204033333333334,2
0.68875,-3.6305766666666663,2
0.69,-3.574626666666666,2
0.69125,-3.664143333333333,2
0.6925,-3.623453333333333,2
0.69375,-3.5705566666666666,2
0.695,-3.6356599999999997,2
0.69625,-3.5736066666666666,2
0.6975,-3.722126666666666,2
0.69875,-3.6946633333333327,2
0.7,-3.7740099999999996,2
0.70125,-3.6560066666666664,2
0.7025,-3.6214199999999996,2
