peptide_name,nanopore_name,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Tyr,PA_F427A,0,1,3-exp,-11654.3,0.874067,0.00773662,0.000196502,0.00309893,1,8.05853e-05,0.0165939,0.0199988,0.0960942,0.00107106,0.00673468,0.67161,0.0040439,0.0563483,0.000324743
guesthost_Tyr,PA_F427A,0,2,2-exp,-927.621,0.309579,0.00445901,0.000514862,0.00258304,1,0.00021247,0.0823748,0.436847,0.00429436,0.130149,0.000890735,0.436847,0.00429436,0.130149,0.000890735
guesthost_Tyr,PA_F427A,0,3,2-exp,-51.6835,0.649821,0.0234979,0.00814558,0.00281511,1,0.00165684,0.515131,0.311225,0.066456,0.174492,0.0264442,0.311225,0.066456,0.174492,0.0264442
guesthost_Tyr,PA_F427A,1,0,3-exp,-39951.2,0.994397,0.0176776,3.05957e-05,0.00191398,0.629645,0.000107459,0.0276891,0.0106419,0.322774,0.000347263,0.00776181,0.0297204,0.438675,0.000112267,0.00546993
guesthost_Tyr,PA_F427A,1,2,2-exp,-29934.7,0.994178,0.0206655,2.46962e-05,0.00284109,0.743511,4.23895e-05,0.00982114,0.0331365,0.559902,5.35446e-05,0.00152732,0.0331365,0.559902,5.35446e-05,0.00152732
guesthost_Tyr,PA_F427A,1,3,3-exp,-22309.9,0.998717,0.0264591,5.34568e-05,0.00143142,0.220756,0.00028432,0.0689288,0.0190026,0.44312,0.000384439,0.0157511,0.0328107,0.540148,0.000205435,0.017706
guesthost_Tyr,PA_F427A,2,0,2-exp,-2336.31,0.994435,0.0421366,0.000149394,0.0218281,0.267129,0.00218723,0.0273134,0.0552468,0.657155,0.000778443,0.0293275,0.0552468,0.657155,0.000778443,0.0293275
guesthost_Tyr,PA_F427A,2,1,2-exp,-84391.1,0.999519,0.0513443,1.07183e-05,0.0162299,0.0670081,0.000435716,0.00113934,0.0524648,0.957915,2.3998e-05,0.00119471,0.0524648,0.957915,2.3998e-05,0.00119471
guesthost_Tyr,PA_F427A,2,3,2-exp,-4580,0.605401,0.00499276,9.25428e-05,0.00264141,1,0.000156522,0.0548563,0.0490886,0.0479001,0.00253275,0.00368787,0.0490886,0.0479001,0.00253275,0.00368787
