nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_Thr,70.0,7.4,0,1,0.46207459504567583,-43.21836819152684,0.4661332664360181,0.0419930673274115,0.18585653256802925,0.026106992308609894,0.18585653256802925,0.026106992308609894
PA,guesthost_Thr,70.0,7.4,0,2,0.3311461595178823,-69.62104918034,0.424723801145429,0.027368779491084107,0.2870201598591889,0.03319553721071395,0.2870201598591889,0.03319553721071395
PA,guesthost_Thr,70.0,7.4,0,3,0.8413981697825056,-81.8998645529537,0.8250902305484218,0.06247662172237301,0.026382557065984705,0.001811091742817236,0.026382557065984705,0.001811091742817236
PA,guesthost_Thr,70.0,7.4,1,0,0.17096728514264536,-11.01068935655478,1.0999999999999999,0.9282332227314755,0.0023544613912687977,0.0017977498401086404,0.0023544613912687977,0.0017977498401086404
PA,guesthost_Thr,70.0,7.4,1,2,0.7921903621825008,-122.14928058230049,1.0999999999999999,0.11177690752576795,0.004200535859138103,0.00031901447689309696,0.004200535859138103,0.00031901447689309696
PA,guesthost_Thr,70.0,7.4,1,3,0.7127030990208776,-54.354154678379935,1.0999999999999999,0.1683729780271479,0.004261958184417838,0.000510284979957914,0.004261958184417838,0.000510284979957914
PA,guesthost_Thr,70.0,7.4,2,0,0.5604836086382834,-127.95046152244882,1.0999999999999999,0.10850576369520318,0.0027678513532124797,0.00021193670894610457,0.0027678513532124797,0.00021193670894610457
PA,guesthost_Thr,70.0,7.4,2,1,0.83972320249324,-58.86060675377137,1.0999999999999999,0.13032276898354875,0.003584470774200042,0.00032861055986846464,0.003584470774200042,0.00032861055986846464
PA,guesthost_Thr,70.0,7.4,2,3,0.952585321285288,-1736.0938832285374,1.0999999999999999,0.01663508901696758,0.008328643671421656,8.697343315054367e-05,0.008328643671421656,8.697343315054367e-05
