peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Phe,PA,15,20,0,1,3-exp,-4996.98,0.99335,0.0303593,0.00030654,0.00614523,0.86448,0.000137767,0.0100929,0.0275919,0.29298,0.000681269,0.0109181,1,0.016963,0.0211048,0.000417109
guesthost_Phe,PA,15,20,0,2,3-exp,-2323.81,0.995682,0.0310245,0.00015427,0.00754457,0.849454,0.000166165,0.0108819,0.0637591,0.294497,0.00233916,0.00548898,0.232705,0.0250914,0.0285533,0.00628269
guesthost_Phe,PA,15,20,0,3,2-exp,-772.758,0.994673,0.0402728,0.000316896,0.00877547,0.342608,0.00217485,0.0631666,0.0402603,0.925632,0.000492669,0.0256954,0.0402603,0.925632,0.000492669,0.0256954
guesthost_Phe,PA,15,20,1,0,2-exp,-4178.64,0.984252,0.00820088,9.25529e-05,0.00175015,0.519783,0.000310581,0.0998581,0.00766619,0.951082,6.35319e-05,0.0199252,0.00766619,0.951082,6.35319e-05,0.0199252
guesthost_Phe,PA,15,20,1,2,2-exp,-14312.9,0.99046,0.00985484,1.75065e-05,0.00819926,1,0.000125053,0.0303184,0.01407,0.117668,0.000750909,0.0325347,0.01407,0.117668,0.000750909,0.0325347
guesthost_Phe,PA,15,20,1,3,2-exp,-181.596,0.941387,0.00569256,0.000239015,0.00293511,1,0.0016904,0.647236,0.00601712,0.458267,0.00274611,0.81304,0.00601712,0.458267,0.00274611,0.81304
guesthost_Phe,PA,15,20,2,0,2-exp,-1781.47,0.987974,0.0122355,0.000266981,0.00138501,1,0.000294363,0.356196,0.0142772,0.759989,0.000125138,0.0122122,0.0142772,0.759989,0.000125138,0.0122122
guesthost_Phe,PA,15,20,2,1,2-exp,-17222,0.996262,0.0167357,1.83942e-05,0.0141676,0.86242,0.000115787,0.00991143,0.0280203,0.161217,0.000444202,0.0108524,0.0280203,0.161217,0.000444202,0.0108524
guesthost_Phe,PA,15,20,2,3,2-exp,-1249.72,0.970735,0.00635406,7.5823e-05,0.00367172,1,0.000794295,0.525866,0.00589268,0.455198,0.0012872,0.56508,0.00589268,0.455198,0.0012872,0.56508
