peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Trp,PA,70,18,0,1,3-exp,-1097.97,0.941941,0.127513,0.00345782,0.013265,0.448549,0.00346794,0.0652825,0.0662546,0.518462,0.00709147,0.0686418,1,0.0872125,0.0302023,0.0058891
guesthost_Trp,PA,70,18,0,2,3-exp,-1401.27,0.996728,0.0750739,0.000358909,0.00936654,0.24761,0.00214892,0.0339648,0.041158,0.767322,0.00143749,0.0324828,0.285186,0.144373,0.00533878,0.0048559
guesthost_Trp,PA,70,18,0,3,3-exp,-160.445,0.992328,0.237812,0.00612735,0.00745956,0.657633,0.00367692,0.259474,0.073295,0.543151,0.010188,0.067732,1,0.193096,0.0547815,0.0132561
guesthost_Trp,PA,70,18,1,0,3-exp,-1439.86,0.988209,0.0157926,0.000142934,0.00531323,1,0.000249088,0.0235956,0.0288029,0.115089,0.009371,0.0184609,0.0908585,0.0788528,0.0102804,0.022712
guesthost_Trp,PA,70,18,1,2,2-exp,-813.677,0.976219,0.0337602,0.000414247,0.00311336,0.702322,0.00048359,0.0911647,0.0575613,0.548521,0.000974054,0.0138713,0.0575613,0.548521,0.000974054,0.0138713
guesthost_Trp,PA,70,18,1,3,1-exp,-182.213,0.973187,0.0543944,0.00131699,0.0543944,0.903408,0.00131699,0.0267105,,,,,,,,
guesthost_Trp,PA,70,18,2,0,1-exp,-995.437,0.969214,0.006866,7.29996e-05,0.006866,1.08625,7.29996e-05,0.0165322,,,,,,,,
guesthost_Trp,PA,70,18,2,1,2-exp,-555.638,0.965209,0.0123428,0.000407826,0.00831469,0.998326,11.9802,2.92216e+06,0.00831485,0.486123,25.4321,2.92216e+06,0.00831485,0.486123,25.4321,2.92216e+06
guesthost_Trp,PA,70,18,2,3,1-exp,-659.763,0.879256,0.00411904,0.000107696,0.00411904,1.1,0.000107696,0.0406514,,,,,,,,
