peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Ala,PA,27,20,0,1,3-exp,-1709.97,0.996662,0.0313502,0.00314183,0.0170412,0.97391,0.000290109,0.00893611,0.100525,0.0831723,0.0172077,0.00584015,1,0.00639283,1.05141,0.0049109
guesthost_Ala,PA,27,20,0,2,3-exp,-1962.65,0.996841,0.0337661,0.000188516,0.00754307,0.644569,0.000985857,0.0470148,0.0247534,0.772882,0.00131007,0.0537605,0.0847983,0.115245,0.00336617,0.0122256
guesthost_Ala,PA,27,20,0,3,3-exp,-523.457,0.994461,0.0458526,0.000674227,0.00738495,0.30872,0.0059623,0.132165,0.0220145,1,0.00203834,0.190628,0.25129,0.0857901,0.0145465,0.00644949
guesthost_Ala,PA,27,20,1,0,3-exp,-856.513,0.953559,0.00842829,0.00619496,0.00112622,1,0.0105604,3.35089,0.00235312,0.835417,0.00558369,7.87901,0.0157806,0.338151,0.000838302,0.0422645
guesthost_Ala,PA,27,20,1,2,1-exp,-1053.9,0.979646,0.00988693,8.73798e-05,0.00988693,1.00365,8.73798e-05,0.0121998,,,,,,,,
guesthost_Ala,PA,27,20,1,3,2-exp,-129.532,0.869426,0.00458713,0.000374434,0.00246359,1,0.00183527,0.299532,0.0061975,0.342644,0.003084,0.585571,0.0061975,0.342644,0.003084,0.585571
guesthost_Ala,PA,27,20,2,0,2-exp,-926.362,0.938693,0.00973229,0.000194739,0.00317283,1,0.000222213,0.0588965,0.0365343,0.179543,0.00160517,0.0121343,0.0365343,0.179543,0.00160517,0.0121343
guesthost_Ala,PA,27,20,2,1,2-exp,-1297.79,0.994688,0.0342087,0.000154968,0.0142119,0.381368,0.00137777,0.0273418,0.041976,0.685837,0.000670681,0.0306392,0.041976,0.685837,0.000670681,0.0306392
guesthost_Ala,PA,27,20,2,3,2-exp,-3126.69,0.909162,0.00799792,8.27114e-05,0.00652596,1,0.000143771,0.019468,0.0524634,0.0280569,0.00482891,0.0041509,0.0524634,0.0280569,0.00482891,0.0041509
