nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Trp,40.0,18.0,0,1,0.9930511014635474,-77033.50356866834,0.932366698778304,0.001142938578521339,0.024874332817326303,3.95373950267967e-05,0.056431803979985165,0.00020570917472631042,0.4552427299773886,0.0012641438223134412,0.04888216807460066,6.158453907141439e-05
PA,guesthost_Trp,40.0,18.0,0,2,0.9850272895571065,-15784.976784492676,0.9999999999999996,0.004088769437314804,0.03542546195538655,0.0001712645622064903,0.06041812260308572,0.0005657877837663877,0.9250247664290008,0.007499996931684948,0.09131372170438463,0.00039147785425857435
PA,guesthost_Trp,40.0,18.0,0,3,0.9351434665081583,-207.9429088439245,0.5109233235562919,0.10729696366986156,0.027944136918449054,0.010350948561100743,0.5169363323183969,0.028267348925125505,0.9353940676424397,0.042433453335746996,0.4978164899077553,0.016890928090626763
PA,guesthost_Trp,40.0,18.0,1,0,0.9887559249118838,-69305.1834743086,0.8326384017156769,0.003382288370795918,0.005387763740772439,3.4765488853214904e-05,0.3331349894159284,0.0038516537605237404,0.015413181318784044,5.877904754215043e-05,0.009620728985437348,8.559794352547977e-06
PA,guesthost_Trp,40.0,18.0,1,2,0.9440621282653651,-19290.443374040613,0.9999999999999999,0.007240475698877437,0.0038942550595089122,4.885900959350851e-05,0.11384982045164911,0.006394303236855107,0.01195943680097112,0.00021503455025236314,0.005255834792002319,1.6523668861098283e-05
PA,guesthost_Trp,40.0,18.0,1,3,0.950036086332857,-651.8266423562959,0.9999999999999999,0.05002642716079062,0.0035660958967671528,0.0002835358260028765,0.2076535341965818,0.02417052762981255,0.01959533461323213,0.001232720875340865,0.007635136382969414,0.0001295716507099375
PA,guesthost_Trp,40.0,18.0,2,0,0.9929276841206909,-18824.261091603596,0.9999999999999999,0.032723508302588016,0.011555546897503663,0.00019367030743357928,0.3639307755814521,0.035894260440619524,0.019331305794489974,0.0003404499309318148,0.018590804008294617,2.9210004768389405e-05
PA,guesthost_Trp,40.0,18.0,2,1,0.9659373634603995,-22343.300309597016,0.9999999999021911,0.015828362261520963,0.012084924117973813,0.00018232478281242012,0.31418373897204044,0.018538990667618938,0.022800674129364523,0.0002551227240553516,0.01924852516583862,5.143617759840112e-05
PA,guesthost_Trp,40.0,18.0,2,3,0.9606020780689549,-3754.678202152775,0.9999999999999999,0.015054397018068407,0.005936767575871345,0.00014226061359161847,0.12094000479698863,0.013355212040032647,0.01904944974627849,0.0007253985910416835,0.00824060811956626,5.2277666968361014e-05
PA,guesthost_Trp,40.0,18.0,0,1,0.9930511014635474,-77033.50356866834,0.932366698778304,0.001142938578521339,0.024874332817326303,3.95373950267967e-05,0.056431803979985165,0.00020570917472631042,0.4552427299773886,0.0012641438223134412,0.04888216807460066,6.158453907141439e-05
PA,guesthost_Trp,40.0,18.0,0,2,0.9850272895571065,-15784.976784492676,0.9999999999999996,0.004088769437314804,0.03542546195538655,0.0001712645622064903,0.06041812260308572,0.0005657877837663877,0.9250247664290008,0.007499996931684948,0.09131372170438463,0.00039147785425857435
PA,guesthost_Trp,40.0,18.0,0,3,0.9351434665081583,-207.9429088439245,0.5109233235562919,0.10729696366986156,0.027944136918449054,0.010350948561100743,0.5169363323183969,0.028267348925125505,0.9353940676424397,0.042433453335746996,0.4978164899077553,0.016890928090626763
PA,guesthost_Trp,40.0,18.0,1,0,0.9887559249118838,-69305.1834743086,0.8326384017156769,0.003382288370795918,0.005387763740772439,3.4765488853214904e-05,0.3331349894159284,0.0038516537605237404,0.015413181318784044,5.877904754215043e-05,0.009620728985437348,8.559794352547977e-06
PA,guesthost_Trp,40.0,18.0,1,2,0.9440621282653651,-19290.443374040613,0.9999999999999999,0.007240475698877437,0.0038942550595089122,4.885900959350851e-05,0.11384982045164911,0.006394303236855107,0.01195943680097112,0.00021503455025236314,0.005255834792002319,1.6523668861098283e-05
PA,guesthost_Trp,40.0,18.0,1,3,0.950036086332857,-651.8266423562959,0.9999999999999999,0.05002642716079062,0.0035660958967671528,0.0002835358260028765,0.2076535341965818,0.02417052762981255,0.01959533461323213,0.001232720875340865,0.007635136382969414,0.0001295716507099375
PA,guesthost_Trp,40.0,18.0,2,0,0.9929276841206909,-18824.261091603596,0.9999999999999999,0.032723508302588016,0.011555546897503663,0.00019367030743357928,0.3639307755814521,0.035894260440619524,0.019331305794489974,0.0003404499309318148,0.018590804008294617,2.9210004768389405e-05
PA,guesthost_Trp,40.0,18.0,2,1,0.9659373634603995,-22343.300309597016,0.9999999999021911,0.015828362261520963,0.012084924117973813,0.00018232478281242012,0.31418373897204044,0.018538990667618938,0.022800674129364523,0.0002551227240553516,0.01924852516583862,5.143617759840112e-05
PA,guesthost_Trp,40.0,18.0,2,3,0.9606020780689549,-3754.678202152775,0.9999999999999999,0.015054397018068407,0.005936767575871345,0.00014226061359161847,0.12094000479698863,0.013355212040032647,0.01904944974627849,0.0007253985910416835,0.00824060811956626,5.2277666968361014e-05
PA,guesthost_Trp,40.0,18.0,0,1,0.9930511014635474,-77033.50356866834,0.932366698778304,0.001142938578521339,0.024874332817326303,3.95373950267967e-05,0.056431803979985165,0.00020570917472631042,0.4552427299773886,0.0012641438223134412,0.04888216807460066,6.158453907141439e-05
PA,guesthost_Trp,40.0,18.0,0,2,0.9850272895571065,-15784.976784492676,0.9999999999999996,0.004088769437314804,0.03542546195538655,0.0001712645622064903,0.06041812260308572,0.0005657877837663877,0.9250247664290008,0.007499996931684948,0.09131372170438463,0.00039147785425857435
PA,guesthost_Trp,40.0,18.0,0,3,0.9351434665081583,-207.9429088439245,0.5109233235562919,0.10729696366986156,0.027944136918449054,0.010350948561100743,0.5169363323183969,0.028267348925125505,0.9353940676424397,0.042433453335746996,0.4978164899077553,0.016890928090626763
PA,guesthost_Trp,40.0,18.0,1,0,0.9887559249118838,-69305.1834743086,0.8326384017156769,0.003382288370795918,0.005387763740772439,3.4765488853214904e-05,0.3331349894159284,0.0038516537605237404,0.015413181318784044,5.877904754215043e-05,0.009620728985437348,8.559794352547977e-06
PA,guesthost_Trp,40.0,18.0,1,2,0.9440621282653651,-19290.443374040613,0.9999999999999999,0.007240475698877437,0.0038942550595089122,4.885900959350851e-05,0.11384982045164911,0.006394303236855107,0.01195943680097112,0.00021503455025236314,0.005255834792002319,1.6523668861098283e-05
PA,guesthost_Trp,40.0,18.0,1,3,0.950036086332857,-651.8266423562959,0.9999999999999999,0.05002642716079062,0.0035660958967671528,0.0002835358260028765,0.2076535341965818,0.02417052762981255,0.01959533461323213,0.001232720875340865,0.007635136382969414,0.0001295716507099375
PA,guesthost_Trp,40.0,18.0,2,0,0.9929276841206909,-18824.261091603596,0.9999999999999999,0.032723508302588016,0.011555546897503663,0.00019367030743357928,0.3639307755814521,0.035894260440619524,0.019331305794489974,0.0003404499309318148,0.018590804008294617,2.9210004768389405e-05
PA,guesthost_Trp,40.0,18.0,2,1,0.9659373634603995,-22343.300309597016,0.9999999999021911,0.015828362261520963,0.012084924117973813,0.00018232478281242012,0.31418373897204044,0.018538990667618938,0.022800674129364523,0.0002551227240553516,0.01924852516583862,5.143617759840112e-05
PA,guesthost_Trp,40.0,18.0,2,3,0.9606020780689549,-3754.678202152775,0.9999999999999999,0.015054397018068407,0.005936767575871345,0.00014226061359161847,0.12094000479698863,0.013355212040032647,0.01904944974627849,0.0007253985910416835,0.00824060811956626,5.2277666968361014e-05
PA,guesthost_Trp,40.0,18.0,0,1,0.9930511014635474,-77033.50356866834,0.932366698778304,0.001142938578521339,0.024874332817326303,3.95373950267967e-05,0.056431803979985165,0.00020570917472631042,0.4552427299773886,0.0012641438223134412,0.04888216807460066,6.158453907141439e-05
PA,guesthost_Trp,40.0,18.0,0,2,0.9850272895571065,-15784.976784492676,0.9999999999999996,0.004088769437314804,0.03542546195538655,0.0001712645622064903,0.06041812260308572,0.0005657877837663877,0.9250247664290008,0.007499996931684948,0.09131372170438463,0.00039147785425857435
PA,guesthost_Trp,40.0,18.0,0,3,0.9351434665081583,-207.9429088439245,0.5109233235562919,0.10729696366986156,0.027944136918449054,0.010350948561100743,0.5169363323183969,0.028267348925125505,0.9353940676424397,0.042433453335746996,0.4978164899077553,0.016890928090626763
PA,guesthost_Trp,40.0,18.0,1,0,0.9887559249118838,-69305.1834743086,0.8326384017156769,0.003382288370795918,0.005387763740772439,3.4765488853214904e-05,0.3331349894159284,0.0038516537605237404,0.015413181318784044,5.877904754215043e-05,0.009620728985437348,8.559794352547977e-06
PA,guesthost_Trp,40.0,18.0,1,2,0.9440621282653651,-19290.443374040613,0.9999999999999999,0.007240475698877437,0.0038942550595089122,4.885900959350851e-05,0.11384982045164911,0.006394303236855107,0.01195943680097112,0.00021503455025236314,0.005255834792002319,1.6523668861098283e-05
PA,guesthost_Trp,40.0,18.0,1,3,0.950036086332857,-651.8266423562959,0.9999999999999999,0.05002642716079062,0.0035660958967671528,0.0002835358260028765,0.2076535341965818,0.02417052762981255,0.01959533461323213,0.001232720875340865,0.007635136382969414,0.0001295716507099375
PA,guesthost_Trp,40.0,18.0,2,0,0.9929276841206909,-18824.261091603596,0.9999999999999999,0.032723508302588016,0.011555546897503663,0.00019367030743357928,0.3639307755814521,0.035894260440619524,0.019331305794489974,0.0003404499309318148,0.018590804008294617,2.9210004768389405e-05
PA,guesthost_Trp,40.0,18.0,2,1,0.9659373634603995,-22343.300309597016,0.9999999999021911,0.015828362261520963,0.012084924117973813,0.00018232478281242012,0.31418373897204044,0.018538990667618938,0.022800674129364523,0.0002551227240553516,0.01924852516583862,5.143617759840112e-05
PA,guesthost_Trp,40.0,18.0,2,3,0.9606020780689549,-3754.678202152775,0.9999999999999999,0.015054397018068407,0.005936767575871345,0.00014226061359161847,0.12094000479698863,0.013355212040032647,0.01904944974627849,0.0007253985910416835,0.00824060811956626,5.2277666968361014e-05
