peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Leu,PA,27,20,0,1,3-exp,-1473.55,0.998055,0.0891304,0.000363448,0.00945465,0.173792,0.00217493,0.0236093,0.0469841,0.820891,0.000996986,0.020833,0.421674,0.11601,0.00595569,0.0025889
guesthost_Leu,PA,27,20,0,2,3-exp,-2839.11,0.998203,0.0683693,0.000260613,0.0345723,0.632807,0.00143994,0.0369275,0.0803665,0.474901,0.00267903,0.0395127,0.853741,0.00975185,0.072922,0.000959516
guesthost_Leu,PA,27,20,0,3,3-exp,-1854.64,0.996965,0.0816697,0.000453,0.047352,0.872423,0.00217843,0.0575742,0.115867,0.201859,0.0161568,0.0604779,1,0.0169699,0.0719245,0.00208782
guesthost_Leu,PA,27,20,1,0,2-exp,-263.18,0.762959,0.00495521,0.000329591,0.00224521,1,0.00090081,0.315024,0.0132201,0.204992,0.0030785,0.0946214,0.0132201,0.204992,0.0030785,0.0946214
guesthost_Leu,PA,27,20,1,2,2-exp,-834.458,0.983057,0.00912184,8.55141e-05,0.00476826,0.815138,0.000461676,0.0489818,0.0131235,0.398907,0.000705015,0.0634489,0.0131235,0.398907,0.000705015,0.0634489
guesthost_Leu,PA,27,20,1,3,1-exp,-174.664,0.729106,0.00293002,0.000182835,0.00293002,1.1,0.000182835,0.0920212,,,,,,,,
guesthost_Leu,PA,27,20,2,0,2-exp,-529.871,0.659065,0.00506672,0.13138,0.00275745,1,0.000169313,0.0664771,1,0.00230927,58.5332,0.00393062,1,0.00230927,58.5332,0.00393062
guesthost_Leu,PA,27,20,2,1,2-exp,-555.161,0.981322,0.0109867,0.000134477,0.00385968,0.803663,0.000409868,0.0482469,0.0191457,0.411833,0.000657711,0.028665,0.0191457,0.411833,0.000657711,0.028665
guesthost_Leu,PA,27,20,2,3,3-exp,-3056.69,0.970592,0.00659396,8.04092e-05,0.00355322,0.729802,1.56925,1.0737e+06,0.00355353,0.606511,1.80682,1.0737e+06,0.0145322,0.126998,0.000810644,0.0194838
