nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Ala,50.0,20.0,0,1,0.9915448550522824,-2026.0220842418962,0.6020861671291642,1.126499297368763,0.015156857733228201,0.005676173980902197,0.9999999999999515,1.1004132890763585,0.009851099998250453,0.0030193444545331743,0.02188965265913711,0.0050392712687401375,0.1029122866949604,0.012198733281048441,0.021229548586681597,0.00016421480083574807
PA,guesthost_Ala,50.0,20.0,0,2,0.988523342831416,-3258.591394087639,0.9999999998585686,0.0879951849242558,0.007787637628990009,0.0008944262042496905,0.6931158655931852,0.12337825432757249,0.018959621429044355,0.0012032230262393959,0.03049922490870237,0.0008030758634523308,0.9999999999999999,0.020692821892315028,0.05142807695470214,0.0006769137647912355
PA,guesthost_Ala,50.0,20.0,0,3,0.9945162948324255,-768.8719770425852,0.9999999999999999,0.07489580873721208,0.00736487920799738,0.000733409715713781,0.5271358204135338,0.02927402550111804,0.043957631834330504,0.0022293969316106994,0.042825069349485594,0.003765536782967242,0.7251921925949907,0.055880490270004024,0.06159292746800925,0.000964016601617115
PA,guesthost_Ala,50.0,20.0,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,50.0,20.0,1,2,0.9902828263633705,-3190.3576705577943,0.7087093623116845,503614.6573866349,0.00831007804179661,5.244387569421728,0.3115500882933022,503614.592538146,0.00830936331512867,12.128255095288548,0.15088691178527777,0.3623432641986899,0.015231654464558321,0.0063062305160388275,0.010776470287789115,6.908213772568237e-05
PA,guesthost_Ala,50.0,20.0,1,3,0.9811800739195989,-1112.134505618667,0.7557139426878206,1058317.415662372,0.009983776583945263,159.70080366527935,0.4197622082970563,1058305.2315610556,0.009984279245288285,288.35516138247743,3.558082864426558e-05,22.013306495269134,0.014597957307645827,1101.4987760693225,0.011736421676841812,0.00014942372127990314
PA,guesthost_Ala,50.0,20.0,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,50.0,20.0,2,1,0.9939394168274521,-2760.657881074379,0.8198690041051762,494168.0730680731,0.012857046868121225,1391.911286472101,0.2887716171593845,445740.0192098962,0.012856894002623548,3920.0418527633515,0.01563777977428573,444838.5891208326,0.012892056697911327,414.32133692303825,0.014455403427764059,0.000635890679714587
PA,guesthost_Ala,50.0,20.0,2,3,0.9905128173260314,-10759.351338352428,0.49433549174381297,0.08479531175465162,0.011937230809338143,0.0011152005970682453,0.7324979239496126,0.09307743554496835,0.005618010319708625,0.00037771005456754456,0.02927422607362726,0.016602940665404648,0.030241887547392342,0.004661906381247975,0.01090148561106321,2.4632712042059623e-05
