nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Ala,25.0,20.0,0,1,0.9968268130558696,-2479.6482180746407,0.9999999999999997,0.004481620676057196,0.0220301195072701,0.00016153328607024307,0.03010891893777264,0.003012038898878954,0.09474302880343535,0.004853733876318153,0.02488272968143179,7.016226788110326e-05
PA,guesthost_Ala,25.0,20.0,0,2,0.9873829765620198,-2664.033135834507,0.9999999999999999,0.00838113463470335,0.027694085826077634,0.0002611754604294003,0.027700900959960837,0.0013960011917317433,0.2932138706257091,0.01221660833507807,0.035816374216367165,0.0002279745884983556
PA,guesthost_Ala,25.0,20.0,0,3,0.9901829412722121,-1108.4516712723882,0.9999999999999999,0.015470065935439082,0.021504220540488374,0.0005808895755302212,0.14439982094870998,0.012065158630328974,0.08415691723352287,0.0032615669044717263,0.03365646432060448,0.00022386740095404743
PA,guesthost_Ala,25.0,20.0,1,0,0.9533000988572015,-1289.9865074746963,0.9999999992653592,0.0565676616902126,0.0026180317371652505,0.0002868041247097339,0.39211098140702116,0.05826061698815898,0.008060672068635972,0.00040595212622031616,0.005778709770874952,8.685513229408406e-05
PA,guesthost_Ala,25.0,20.0,1,2,0.9798087909477028,-1326.370209765194,0.5684340269321684,0.05727318320675976,0.0029068418011962416,0.0005518725355507534,0.7800675543076091,0.07789962855780742,0.007824837909160377,0.00024227984277315956,0.007756249961360938,8.19542576589613e-05
PA,guesthost_Ala,25.0,20.0,1,3,0.9202949085963418,-268.23324838535825,0.9227498016386783,4417093.959602075,0.0034851573243978315,4.128977500833998,0.4845495381403221,4417094.029623905,0.0034852942047189296,7.456938573015948,0.004904725926947384,0.00017576924276719742
PA,guesthost_Ala,25.0,20.0,2,0,0.9828174176716568,-2378.2932586830766,0.9999999999999981,0.05809464989394494,0.0024409915040093434,0.00013946020909269143,0.4158843919742134,0.006360628805485293,0.04723463336266688,0.00046797308695749307,0.02208513828016695,0.0001655642295260958
PA,guesthost_Ala,25.0,20.0,2,1,0.9938481078764311,-1771.2380372720859,0.5209987262994248,0.013774721233391967,0.019487642585386235,0.000855341269709461,0.41548334613656485,0.014878392936848756,0.06798867606007195,0.000983909099189141,0.03840119959439831,0.00016827630537681712
PA,guesthost_Ala,25.0,20.0,2,3,0.8991160500493137,-4062.5389614175047,0.9999999999999999,0.01668335478827343,0.006429645102544993,9.93860964903867e-05,0.014296477523565533,0.0014401334713905708,0.10175019573372691,0.009077300784789561,0.007884314488870612,9.046234011702332e-05
