nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Tyr,80.0,20.0,0,1,0.988471986484207,-8822.351479868832,0.26773173582947063,0.0038096807490414406,0.14397275375006047,0.002352363789371598,0.9999999999999822,0.010598198661307913,0.013682328242349532,0.0002142260309398716,0.03098965020789441,0.0008384124137169769,0.9999999999999999,0.013343670123441597,0.0832180537238963,0.0003741211047976353
PA,guesthost_Tyr,80.0,20.0,0,2,0.7492300485934091,-1352.6744795823222,0.9999999641061051,0.1662183223158979,0.009974687596396366,0.0031927979474946837,0.3742822686321261,0.2191963524710674,0.03761346837436854,0.013595617585291906,0.12120247040497252,0.006993285174392407,0.9999999999999999,0.02229844783109768,0.14525521191761986,0.005311260112508239
PA,guesthost_Tyr,80.0,20.0,1,0,0.9576266063588597,-4313.93583908728,0.999998298819966,0.6456770474513902,0.0012755968171863418,0.0024154458417391137,0.6024022513333606,1.601517225884212,0.0028286663507857694,0.0021734354275210156,0.33527586046172336,0.015296985870935842,0.016967868191405586,0.0003201406515946331,0.008668506233225388,0.001151076267221997
PA,guesthost_Tyr,80.0,20.0,1,2,0.987227932873756,-12592.882303601591,0.6765155549503312,304516.19578027446,0.006057551683011099,0.9023978806936968,0.43392097970727345,304516.19753877574,0.006058009456322405,1.3597309720333028,0.1158302192708403,0.00822551628848972,0.020531800595513513,0.00044369772262032627,0.009104928301839411,1.3588868651814776e-05
PA,guesthost_Tyr,80.0,20.0,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Tyr,80.0,20.0,2,0,0.8922020199688554,-3509.0887165121567,0.9999993009156126,0.09169970429730855,0.0024846444180021848,0.0002669673296002348,0.1328251131168698,1407520.3542240355,0.03531979169939805,49.811671570893814,0.09630846729025525,1407520.358492113,0.03531048418437558,67.73295114468152,0.010576696619836899,0.000781877310898294
PA,guesthost_Tyr,80.0,20.0,2,1,0.9972881231148386,-11384.765491016,0.2676915327754421,0.026784682176512555,0.002555657358012836,0.00027673456964492395,0.6257222275925672,140746.24218571626,0.041827222950384144,0.7165391941001872,0.21918800993495027,140746.24233944603,0.04183138217154502,1.9911937362136918,0.03602528836494992,5.207385839478068e-05
PA,guesthost_Tyr,80.0,20.0,2,3,0.9971083639711988,-18411.820583153243,0.5105450881651497,0.005800460565526719,0.0041104399923615345,9.163716837440755e-05,0.4728492769029836,0.010994005663454003,0.03364419745621755,0.0006157532025377817,0.1588834369539663,0.013403436407719882,0.06278678986609737,0.00112087284968046,0.027982980356683458,2.9899882123139657e-05
PA,guesthost_Tyr,80.0,20.0,0,1,0.988471986484207,-8822.351479868832,0.26773173582947063,0.0038096807490414406,0.14397275375006047,0.002352363789371598,0.9999999999999822,0.010598198661307913,0.013682328242349532,0.0002142260309398716,0.03098965020789441,0.0008384124137169769,0.9999999999999999,0.013343670123441597,0.0832180537238963,0.0003741211047976353
PA,guesthost_Tyr,80.0,20.0,0,2,0.7492300485934091,-1352.6744795823222,0.9999999641061051,0.1662183223158979,0.009974687596396366,0.0031927979474946837,0.3742822686321261,0.2191963524710674,0.03761346837436854,0.013595617585291906,0.12120247040497252,0.006993285174392407,0.9999999999999999,0.02229844783109768,0.14525521191761986,0.005311260112508239
PA,guesthost_Tyr,80.0,20.0,1,0,0.9576266063588597,-4313.93583908728,0.999998298819966,0.6456770474513902,0.0012755968171863418,0.0024154458417391137,0.6024022513333606,1.601517225884212,0.0028286663507857694,0.0021734354275210156,0.33527586046172336,0.015296985870935842,0.016967868191405586,0.0003201406515946331,0.008668506233225388,0.001151076267221997
PA,guesthost_Tyr,80.0,20.0,1,2,0.987227932873756,-12592.882303601591,0.6765155549503312,304516.19578027446,0.006057551683011099,0.9023978806936968,0.43392097970727345,304516.19753877574,0.006058009456322405,1.3597309720333028,0.1158302192708403,0.00822551628848972,0.020531800595513513,0.00044369772262032627,0.009104928301839411,1.3588868651814776e-05
PA,guesthost_Tyr,80.0,20.0,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Tyr,80.0,20.0,2,0,0.8922020199688554,-3509.0887165121567,0.9999993009156126,0.09169970429730855,0.0024846444180021848,0.0002669673296002348,0.1328251131168698,1407520.3542240355,0.03531979169939805,49.811671570893814,0.09630846729025525,1407520.358492113,0.03531048418437558,67.73295114468152,0.010576696619836899,0.000781877310898294
PA,guesthost_Tyr,80.0,20.0,2,1,0.9972881231148386,-11384.765491016,0.2676915327754421,0.026784682176512555,0.002555657358012836,0.00027673456964492395,0.6257222275925672,140746.24218571626,0.041827222950384144,0.7165391941001872,0.21918800993495027,140746.24233944603,0.04183138217154502,1.9911937362136918,0.03602528836494992,5.207385839478068e-05
PA,guesthost_Tyr,80.0,20.0,2,3,0.9971083639711988,-18411.820583153243,0.5105450881651497,0.005800460565526719,0.0041104399923615345,9.163716837440755e-05,0.4728492769029836,0.010994005663454003,0.03364419745621755,0.0006157532025377817,0.1588834369539663,0.013403436407719882,0.06278678986609737,0.00112087284968046,0.027982980356683458,2.9899882123139657e-05
