peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Trp,PA,15,18,0,2,3-exp,-73805.6,0.99714,0.0610489,3.81151e-05,0.0415061,1,8.58748e-05,0.00124266,0.161692,0.0887712,0.00139474,0.00122998,1,0.00518922,0.0063901,7.95778e-05
guesthost_Trp,PA,15,18,0,3,2-exp,-1014.71,0.900322,0.241314,0.00471315,0.157171,0.761768,0.00748968,0.0209669,1,0.121586,0.0324965,0.010269,1,0.121586,0.0324965,0.010269
guesthost_Trp,PA,15,18,2,0,3-exp,-69093.1,0.995794,0.023951,2.76599e-05,0.0141838,1,0.00129648,0.84575,0.017212,0.303326,0.00429406,0.847587,0.489015,0.00929697,0.00335133,9.29989e-05
guesthost_Trp,PA,15,18,2,3,3-exp,-3330.1,0.96221,0.0272058,0.000477775,0.00403095,0.900277,2.27155,789992,0.00403117,0.496138,4.30044,789992,0.354081,0.0609375,0.00931995,0.00194593
