peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Ala,PA,35,20,0,1,3-exp,-4901.84,0.996954,0.0338897,0.00018904,0.0115838,0.323446,0.0011126,0.0465619,0.0247471,0.804752,0.000484986,0.0505093,1,0.0102277,0.0259949,0.000275467
guesthost_Ala,PA,35,20,0,2,3-exp,-5795.28,0.997827,0.0330673,7.03767e-05,0.0152524,0.675974,0.000779136,0.0621875,0.0296856,0.612593,0.000935794,0.0672221,0.30696,0.0148941,0.00767043,0.000537438
guesthost_Ala,PA,35,20,0,3,3-exp,-2091.43,0.995579,0.028927,,0.0209926,0.625044,318.5,396127,0.0209926,0.60505,329.023,396127,0.107776,0.0288013,0.0139239,0.00736361
guesthost_Ala,PA,35,20,1,0,3-exp,-2146.26,0.947759,0.008343,0.000261474,0.00177995,1,0.000781937,0.170245,0.00513461,0.523404,0.00127705,0.297767,0.0401166,0.0966078,0.0017891,0.00807087
guesthost_Ala,PA,35,20,1,2,2-exp,-4028.4,0.993233,0.0204196,6.46352e-05,0.00563154,0.598997,0.000170257,0.0097667,0.0361015,0.472178,0.000221252,0.00551882,0.0361015,0.472178,0.000221252,0.00551882
guesthost_Ala,PA,35,20,1,3,3-exp,-1856.92,0.988072,0.0179825,0.0171897,0.00370753,0.704505,0.00026718,0.0268922,0.0297021,0.474918,0.00104167,0.012812,1,0.00126445,16.4317,0.00393764
guesthost_Ala,PA,35,20,2,0,2-exp,-1694.55,0.878186,0.00814308,0.000153322,0.00248587,1,0.00026708,0.0998633,0.0265597,0.212999,0.000961835,0.0129191,0.0265597,0.212999,0.000961835,0.0129191
guesthost_Ala,PA,35,20,2,1,3-exp,-4698.75,0.99756,0.0278543,8.96502e-05,0.0235097,0.564461,98.1933,201799,0.0235097,0.459258,120.694,201799,0.0623068,0.0607804,0.00571463,0.0204529
guesthost_Ala,PA,35,20,2,3,3-exp,-5732.57,0.973973,0.00832996,9.70447e-05,0.00347182,0.383135,2.22783,1.06893e+06,0.00347351,0.82746,1.18895,1.06893e+06,0.0203286,0.202946,0.000382276,0.00885001
