nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_Tyr,80.0,20.0,0,1,0.46958561484417305,-1275.3622593339026,0.44919042138538456,0.007594607596643534,0.40912542018163656,0.009779201611612366,0.40912542018163656,0.009779201611612366
PA,guesthost_Tyr,80.0,20.0,0,2,0.32674786018644575,-406.49136045400707,0.4079322875656202,0.010672587006309355,1.3953740580258946,0.06385216062559602,1.3953740580258946,0.06385216062559602
PA,guesthost_Tyr,80.0,20.0,1,0,0.88801336739689,-3013.317345011332,0.7027145208051968,0.00764658737832649,0.012411640783604377,0.00011925530571568964,0.012411640783604377,0.00011925530571568964
PA,guesthost_Tyr,80.0,20.0,1,2,0.9242582524113446,-7480.359041421398,0.887187243622773,0.00613364499241039,0.010160754859108948,5.41251368503174e-05,0.010160754859108948,5.41251368503174e-05
PA,guesthost_Tyr,80.0,20.0,1,3,0.9320332630902499,-248.4083092797488,0.9789463482145572,0.0367044014724176,0.006140171228339544,0.00017675540515839624,0.006140171228339544,0.00017675540515839624
PA,guesthost_Tyr,80.0,20.0,2,0,0.7947425447190637,-2521.019719357527,0.5676361447381741,0.007130212193038959,0.02405072802807405,0.0003076884794357985,0.02405072802807405,0.0003076884794357985
PA,guesthost_Tyr,80.0,20.0,2,1,0.9955513756027872,-10460.751226527276,0.886308658415327,0.0017844834525276537,0.040873824311325704,6.225845277698299e-05,0.040873824311325704,6.225845277698299e-05
PA,guesthost_Tyr,80.0,20.0,2,3,0.9642290630613733,-10518.290261347021,0.7379629474633753,0.003034285299357136,0.04002356536394588,0.00013737403490379476,0.04002356536394588,0.00013737403490379476
PA,guesthost_Tyr,80.0,20.0,0,1,0.46958561484417305,-1275.3622593339026,0.44919042138538456,0.007594607596643534,0.40912542018163656,0.009779201611612366,0.40912542018163656,0.009779201611612366
PA,guesthost_Tyr,80.0,20.0,0,2,0.32674786018644575,-406.49136045400707,0.4079322875656202,0.010672587006309355,1.3953740580258946,0.06385216062559602,1.3953740580258946,0.06385216062559602
PA,guesthost_Tyr,80.0,20.0,1,0,0.88801336739689,-3013.317345011332,0.7027145208051968,0.00764658737832649,0.012411640783604377,0.00011925530571568964,0.012411640783604377,0.00011925530571568964
PA,guesthost_Tyr,80.0,20.0,1,2,0.9242582524113446,-7480.359041421398,0.887187243622773,0.00613364499241039,0.010160754859108948,5.41251368503174e-05,0.010160754859108948,5.41251368503174e-05
PA,guesthost_Tyr,80.0,20.0,1,3,0.9320332630902499,-248.4083092797488,0.9789463482145572,0.0367044014724176,0.006140171228339544,0.00017675540515839624,0.006140171228339544,0.00017675540515839624
PA,guesthost_Tyr,80.0,20.0,2,0,0.7947425447190637,-2521.019719357527,0.5676361447381741,0.007130212193038959,0.02405072802807405,0.0003076884794357985,0.02405072802807405,0.0003076884794357985
PA,guesthost_Tyr,80.0,20.0,2,1,0.9955513756027872,-10460.751226527276,0.886308658415327,0.0017844834525276537,0.040873824311325704,6.225845277698299e-05,0.040873824311325704,6.225845277698299e-05
PA,guesthost_Tyr,80.0,20.0,2,3,0.9642290630613733,-10518.290261347021,0.7379629474633753,0.003034285299357136,0.04002356536394588,0.00013737403490379476,0.04002356536394588,0.00013737403490379476
