peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Ala,PA,60,20,0,1,3-exp,-190.993,0.833828,0.0943699,0.0106136,0.00461202,1,0.00976975,2.02074,0.00996223,0.988337,0.00842041,2.73376,1,0.0799118,0.0764401,0.011347
guesthost_Ala,PA,60,20,0,2,2-exp,-326.899,0.940025,0.0292872,0.00102646,0.0118411,1,0.00126635,0.0839994,0.134343,0.129863,0.0152477,0.0208511,0.134343,0.129863,0.0152477,0.0208511
guesthost_Ala,PA,60,20,0,3,2-exp,-97.1916,0.975387,0.0218082,0.000842765,0.00952431,1,0.0036207,0.163008,0.0305097,0.402623,0.00768966,0.24456,0.0305097,0.402623,0.00768966,0.24456
guesthost_Ala,PA,60,20,1,0,1-exp,-49.252,0.473216,0.00238448,0.000501844,0.00238448,1.1,0.000501844,0.285379,,,,,,,,
guesthost_Ala,PA,60,20,1,2,2-exp,-721.268,0.966927,0.00825333,0.000235087,0.00532484,0.563279,11.2383,2.35782e+06,0.0053249,0.986678,6.37292,2.35782e+06,0.0053249,0.986678,6.37292,2.35782e+06
guesthost_Ala,PA,60,20,1,3,2-exp,-142.281,0.935353,0.00798455,,0.00538231,0.994974,3.49052,6.38041e+06,0.00538277,0.488464,7.32972,6.38041e+06,0.00538277,0.488464,7.32972,6.38041e+06
guesthost_Ala,PA,60,20,2,0,1-exp,-122.349,0.659956,0.00278204,0.000217707,0.00278204,1.1,0.000217707,0.112915,,,,,,,,
guesthost_Ala,PA,60,20,2,1,1-exp,-435.331,0.973429,0.00783179,0.00012028,0.00783179,1.1,0.00012028,0.0239011,,,,,,,,
guesthost_Ala,PA,60,20,2,3,2-exp,-2719.63,0.980762,0.0101842,0.00012409,0.00704075,0.993351,0.609849,927232,0.00704118,0.453093,1.60919,927232,0.00704118,0.453093,1.60919,927232
