nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_Trp,10.0,18.0,0,2,0.9254275552973564,-5633.559645837924,0.8133453979759683,0.0061583103050949104,0.07934073716201359,0.0004846044683891763,0.07934073716201359,0.0004846044683891763
PA,guesthost_Trp,10.0,18.0,0,3,0.75565715721701,-399.23478328093995,0.600143372248024,0.019869742734846325,0.26645898376484034,0.009153612454754038,0.26645898376484034,0.009153612454754038
PA,guesthost_Trp,10.0,18.0,2,0,0.9696411005151361,-7607.987107342183,1.0999999999999999,0.0068072239021262654,0.010644800093846146,4.493193645066949e-05,0.010644800093846146,4.493193645066949e-05
PA,guesthost_Trp,10.0,18.0,2,3,0.9200170869720399,-1253.072744676051,1.0999999999995276,0.021150577578005588,0.006303506456238695,8.444160178847889e-05,0.006303506456238695,8.444160178847889e-05
PA,guesthost_Trp,10.0,18.0,0,2,0.9254275552973564,-5633.559645837924,0.8133453979759683,0.0061583103050949104,0.07934073716201359,0.0004846044683891763,0.07934073716201359,0.0004846044683891763
PA,guesthost_Trp,10.0,18.0,0,3,0.75565715721701,-399.23478328093995,0.600143372248024,0.019869742734846325,0.26645898376484034,0.009153612454754038,0.26645898376484034,0.009153612454754038
PA,guesthost_Trp,10.0,18.0,2,0,0.9696411005151361,-7607.987107342183,1.0999999999999999,0.0068072239021262654,0.010644800093846146,4.493193645066949e-05,0.010644800093846146,4.493193645066949e-05
PA,guesthost_Trp,10.0,18.0,2,3,0.9200170869720399,-1253.072744676051,1.0999999999995276,0.021150577578005588,0.006303506456238695,8.444160178847889e-05,0.006303506456238695,8.444160178847889e-05
PA,guesthost_Trp,10.0,18.0,0,2,0.9254275552973564,-5633.559645837924,0.8133453979759683,0.0061583103050949104,0.07934073716201359,0.0004846044683891763,0.07934073716201359,0.0004846044683891763
PA,guesthost_Trp,10.0,18.0,0,3,0.75565715721701,-399.23478328093995,0.600143372248024,0.019869742734846325,0.26645898376484034,0.009153612454754038,0.26645898376484034,0.009153612454754038
PA,guesthost_Trp,10.0,18.0,2,0,0.9696411005151361,-7607.987107342183,1.0999999999999999,0.0068072239021262654,0.010644800093846146,4.493193645066949e-05,0.010644800093846146,4.493193645066949e-05
PA,guesthost_Trp,10.0,18.0,2,3,0.9200170869720399,-1253.072744676051,1.0999999999995276,0.021150577578005588,0.006303506456238695,8.444160178847889e-05,0.006303506456238695,8.444160178847889e-05
PA,guesthost_Trp,10.0,18.0,0,2,0.9254275552973564,-5633.559645837924,0.8133453979759683,0.0061583103050949104,0.07934073716201359,0.0004846044683891763,0.07934073716201359,0.0004846044683891763
PA,guesthost_Trp,10.0,18.0,0,3,0.75565715721701,-399.23478328093995,0.600143372248024,0.019869742734846325,0.26645898376484034,0.009153612454754038,0.26645898376484034,0.009153612454754038
PA,guesthost_Trp,10.0,18.0,2,0,0.9696411005151361,-7607.987107342183,1.0999999999999999,0.0068072239021262654,0.010644800093846146,4.493193645066949e-05,0.010644800093846146,4.493193645066949e-05
PA,guesthost_Trp,10.0,18.0,2,3,0.9200170869720399,-1253.072744676051,1.0999999999995276,0.021150577578005588,0.006303506456238695,8.444160178847889e-05,0.006303506456238695,8.444160178847889e-05
