nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Tyr,35.0,20.0,0,1,0.961810219417858,-13954.506044557316,0.7095395372533758,0.006717528416902826,0.01447789477159525,0.0002503782005602595,0.259436640908024,0.0022183670120276325,0.2094222682483975,0.0013140739905924104,0.06460444856234414,0.0002726251177745411
PA,guesthost_Tyr,35.0,20.0,0,2,0.8399878500705589,-5622.061545329394,0.8774110647440698,0.010263432108449405,0.11277336975447347,0.0018067513595730878,0.04797832679606157,0.002449656470640982,0.9999999999999999,0.01843862511532132,0.14692692922711081,0.0014874954985623925
PA,guesthost_Tyr,35.0,20.0,0,3,0.9981325511058938,-1387.2077953640703,0.9772109300309746,0.004637602488600514,0.16726031946599654,0.0015387205327497399,0.013106147683659627,0.004303764767124132,0.8773112317629285,0.22057171779818088,0.17494678291066268,0.000937407574951087
PA,guesthost_Tyr,35.0,20.0,1,0,0.980876480979352,-16445.448620400955,0.6722090865466511,0.0047864477139058625,0.007286451863691632,0.0001073187637799976,0.2908053524238572,0.0030153902443897963,0.044051933456159306,0.00024091082771832007,0.01770855718512901,4.467958479517957e-05
PA,guesthost_Tyr,35.0,20.0,1,2,0.9512421143378283,-18265.943868135822,0.9999999999999999,0.006242460200525438,0.006083980860049192,4.103309484605109e-05,0.04043974815992106,0.001071995364058383,0.06278972944100907,0.0010851311706882398,0.008623181705673178,3.3937759230886396e-05
PA,guesthost_Tyr,35.0,20.0,1,3,0.8834172799528766,-1230.18670409552,0.999999999999996,0.05321860505943318,0.0032054072750733317,0.0002184725856093011,0.12199671524914973,0.008763754311735598,0.04131241680220264,0.0020833804759921967,0.008245386423945823,0.00018086758304133722
PA,guesthost_Tyr,35.0,20.0,2,0,0.9586861817109724,-9987.668902048488,0.9999999999999999,0.0899198844314223,0.0022293229618929626,0.00018114500966735114,0.358237021847367,0.0030701935888526586,0.13444145241266295,0.000823783358041184,0.05039122848703985,0.00028293216162432596
PA,guesthost_Tyr,35.0,20.0,2,1,0.9991851516040298,-42031.29308052063,0.5855444972893856,0.010454191022889192,0.09912056305510934,0.000649835442784253,0.37743367773770964,0.010752310122930079,0.15746657029850697,0.0007776623638032145,0.11747268701365393,4.372152800625025e-05
PA,guesthost_Tyr,35.0,20.0,2,3,0.8331099683778068,-4955.505342619193,0.9999999999999999,0.014324978814373099,0.0035530688789543927,4.1886406087543575e-05,0.0023331652663991283,0.00047534539840587633,0.2370791310972615,0.07828168301295582,0.004106213673018608,0.0001174481410640874
PA,guesthost_Tyr,35.0,20.0,0,1,0.961810219417858,-13954.506044557316,0.7095395372533758,0.006717528416902826,0.01447789477159525,0.0002503782005602595,0.259436640908024,0.0022183670120276325,0.2094222682483975,0.0013140739905924104,0.06460444856234414,0.0002726251177745411
PA,guesthost_Tyr,35.0,20.0,0,2,0.8399878500705589,-5622.061545329394,0.8774110647440698,0.010263432108449405,0.11277336975447347,0.0018067513595730878,0.04797832679606157,0.002449656470640982,0.9999999999999999,0.01843862511532132,0.14692692922711081,0.0014874954985623925
PA,guesthost_Tyr,35.0,20.0,0,3,0.9981325511058938,-1387.2077953640703,0.9772109300309746,0.004637602488600514,0.16726031946599654,0.0015387205327497399,0.013106147683659627,0.004303764767124132,0.8773112317629285,0.22057171779818088,0.17494678291066268,0.000937407574951087
PA,guesthost_Tyr,35.0,20.0,1,0,0.980876480979352,-16445.448620400955,0.6722090865466511,0.0047864477139058625,0.007286451863691632,0.0001073187637799976,0.2908053524238572,0.0030153902443897963,0.044051933456159306,0.00024091082771832007,0.01770855718512901,4.467958479517957e-05
PA,guesthost_Tyr,35.0,20.0,1,2,0.9512421143378283,-18265.943868135822,0.9999999999999999,0.006242460200525438,0.006083980860049192,4.103309484605109e-05,0.04043974815992106,0.001071995364058383,0.06278972944100907,0.0010851311706882398,0.008623181705673178,3.3937759230886396e-05
PA,guesthost_Tyr,35.0,20.0,1,3,0.8834172799528766,-1230.18670409552,0.999999999999996,0.05321860505943318,0.0032054072750733317,0.0002184725856093011,0.12199671524914973,0.008763754311735598,0.04131241680220264,0.0020833804759921967,0.008245386423945823,0.00018086758304133722
PA,guesthost_Tyr,35.0,20.0,2,0,0.9586861817109724,-9987.668902048488,0.9999999999999999,0.0899198844314223,0.0022293229618929626,0.00018114500966735114,0.358237021847367,0.0030701935888526586,0.13444145241266295,0.000823783358041184,0.05039122848703985,0.00028293216162432596
PA,guesthost_Tyr,35.0,20.0,2,1,0.9991851516040298,-42031.29308052063,0.5855444972893856,0.010454191022889192,0.09912056305510934,0.000649835442784253,0.37743367773770964,0.010752310122930079,0.15746657029850697,0.0007776623638032145,0.11747268701365393,4.372152800625025e-05
PA,guesthost_Tyr,35.0,20.0,2,3,0.8331099683778068,-4955.505342619193,0.9999999999999999,0.014324978814373099,0.0035530688789543927,4.1886406087543575e-05,0.0023331652663991283,0.00047534539840587633,0.2370791310972615,0.07828168301295582,0.004106213673018608,0.0001174481410640874
