peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Tyr,PA,90,20.0,1,3,1-exp,-30.1654,0.65386,0.00307757,0.000518148,0.00307757,1.1,0.000518148,0.227162,,,,,,,,
guesthost_Tyr,PA,90,20.0,2,0,2-exp,-1052.35,0.801521,0.00533542,0.000139167,0.00281949,1.0,0.000249001,0.0747396,0.0279987,0.0898585,0.0023856,0.0120422,0.0279987,0.0898585,0.0023856,0.0120422
guesthost_Tyr,PA,90,20.0,2,1,2-exp,-774.147,0.957769,0.0150828,0.000262443,0.00245553,1.0,0.00034884,0.138981,0.0353506,0.357201,0.00094306,0.0140877,0.0353506,0.357201,0.00094306,0.0140877
guesthost_Tyr,PA,90,20.0,2,3,3-exp,-11150.2,0.997835,0.0290251,4.25639e-05,0.01125,0.39226,0.000337764,0.00878382,0.0321124,0.731378,0.000186798,0.0103563,0.408207,0.00275806,0.0267375,0.000185623
guesthost_Thr,PA,20,74.0,0,1,3-exp,-8288.08,0.987111,0.0328056,0.000295724,0.0123593,0.635191,0.000867237,0.0803396,0.0248927,0.504517,0.00126705,0.0852323,1.0,0.0123963,0.0154914,0.000406501
guesthost_Thr,PA,20,74.0,0,2,3-exp,-11125.7,0.997783,0.0328443,7.61515e-05,0.0164664,1.0,0.000224929,0.014946,0.0382538,0.297144,0.000779399,0.0175755,0.849707,0.00589733,0.0185863,0.000143593
guesthost_Thr,PA,20,74.0,0,3,3-exp,-7183.87,0.997751,0.0335174,0.000107756,0.0170568,1.0,0.000336948,0.0238817,0.0370384,0.339209,0.000933956,0.0279495,0.890528,0.00437594,0.0345702,0.000141879
guesthost_Thr,PA,20,74.0,1,0,3-exp,-5339.54,0.941101,0.00579128,0.00118604,0.00120873,0.999997,0.0025137,0.700706,0.00245314,0.866346,0.00163728,2.13253,0.00833515,0.29481,0.00031757,0.0403079
guesthost_Thr,PA,20,74.0,1,2,3-exp,-5042.75,0.973491,0.00657557,4.26477e-05,0.00443282,0.560329,8.28005,632384.0,0.00443291,0.675581,6.88328,632384.0,0.0128841,0.0851395,0.00127537,0.0309508
guesthost_Thr,PA,20,74.0,1,3,2-exp,-1440.17,0.888467,0.00468064,0.000105245,0.00282713,1.0,0.00201672,3.31084,0.00377293,0.491267,0.00286471,3.40533,0.00377293,0.491267,0.00286471,3.40533
guesthost_Thr,PA,20,74.0,2,0,2-exp,-5740.25,0.956979,0.0228216,0.00018702,0.00289344,1.0,9.90313e-05,0.0304086,0.0825317,0.24146,0.000900566,0.00385714,0.0825317,0.24146,0.000900566,0.00385714
guesthost_Thr,PA,20,74.0,2,1,2-exp,-7914.89,0.996341,0.0575992,0.000103591,0.00259483,0.416781,0.000211039,0.0330424,0.0751813,0.751752,0.000151618,0.0022873,0.0751813,0.751752,0.000151618,0.0022873
guesthost_Thr,PA,20,74.0,2,3,3-exp,-12344.0,0.975646,0.00840127,2.93418e-05,0.00413862,0.801261,0.316574,255592.0,0.00413917,0.650886,0.356418,255592.0,0.0696869,0.0343111,0.00128196,0.000947681
guesthost_Phe,PA,25,19.0,0,1,3-exp,-6212.23,0.994234,0.0250852,9.90494e-05,0.00752517,0.792397,0.000108599,0.00599118,0.0545311,0.271181,0.000783064,0.00391255,0.435531,0.00995206,0.0188793,0.000621988
guesthost_Phe,PA,25,19.0,0,2,3-exp,-1667.56,0.996762,0.0406581,0.0103357,0.0150455,0.706826,0.000616878,0.0192296,0.0644487,0.404279,0.00346691,0.0174124,1.0,0.00396824,3.87096,0.00608304
guesthost_Phe,PA,25,19.0,0,3,3-exp,-1178.66,0.996169,0.0514176,0.00585625,0.0122998,0.879794,0.000801691,0.032328,0.057647,0.596422,0.00199684,0.0241304,1.0,0.00621431,1.4438,0.00373962
guesthost_Phe,PA,25,19.0,1,0,3-exp,-6023.56,0.993453,0.0218148,7.43425e-05,0.00298133,0.584102,0.000189067,0.0204429,0.0168098,0.569865,0.000353427,0.013023,0.115161,0.0911247,0.00139243,0.00205291
guesthost_Phe,PA,25,19.0,1,2,3-exp,-35246.3,0.995734,0.014841,1.32967e-05,0.011733,1.0,6.31574e-05,0.00580733,0.0296631,0.0850517,0.000960702,0.0063795,0.176333,0.00331818,0.00693024,0.000246687
guesthost_Phe,PA,25,19.0,1,3,3-exp,-2009.41,0.994391,0.0274808,0.000217674,0.00504263,0.694442,0.000202922,0.0149313,0.0491248,0.425946,0.00116114,0.00675284,0.277136,0.0110215,0.0626767,0.00338253
guesthost_Phe,PA,25,19.0,2,0,3-exp,-735.769,0.927515,0.00689268,0.00424192,0.00120359,1.0,0.00919579,2.70039,0.0023678,1.0,0.00473566,8.34525,0.0171153,0.194054,0.00144053,0.036394
guesthost_Phe,PA,25,19.0,2,1,3-exp,-35412.6,0.995839,0.0150634,1.22209e-05,0.013081,1.0,0.00025411,0.0620856,0.0222824,0.0670498,0.0063783,0.0594692,0.0583014,0.00837594,0.00748365,0.00408569
guesthost_Phe,PA,25,19.0,2,3,3-exp,-1936.2,0.952111,0.00608508,0.000112986,0.00378127,0.79523,0.996444,1243690.0,0.00378258,0.643324,1.3784,1243690.0,0.0587479,0.0109736,0.0138731,0.00269178
guesthost_Tyr,PA,65,20.0,0,1,3-exp,-3537.03,0.76861,0.0990309,0.00164723,0.0269043,0.845538,0.00192239,0.0316359,0.170465,0.272638,0.0141913,0.0240774,1.0,0.029807,0.0477482,0.00391436
guesthost_Tyr,PA,65,20.0,0,2,1-exp,-324.753,0.145143,5.30842,0.292567,5.30842,0.382195,0.292567,0.00798852,,,,,,,,
guesthost_Tyr,PA,65,20.0,1,0,2-exp,-2720.04,0.815065,0.0047061,6.37349e-05,0.00294769,1.0,0.000150154,0.0400205,0.0202048,0.0870293,0.00107942,0.00829333,0.0202048,0.0870293,0.00107942,0.00829333
guesthost_Tyr,PA,65,20.0,1,2,2-exp,-23922.6,0.990632,0.0104662,1.50217e-05,0.00459305,0.600828,8.67656e-05,0.0070246,0.0131703,0.585151,6.05252e-05,0.00813872,0.0131703,0.585151,6.05252e-05,0.00813872
guesthost_Tyr,PA,65,20.0,1,3,2-exp,-540.238,0.975001,0.00922752,0.000121605,0.00684064,0.951486,0.000487078,0.0452874,0.021256,0.127905,0.00374443,0.0535178,0.021256,0.127905,0.00374443,0.0535178
guesthost_Tyr,PA,65,20.0,2,0,2-exp,-5108.63,0.846859,0.0158484,0.000236906,0.00255868,1.0,0.000193939,0.0715509,0.078172,0.170007,0.00160925,0.00520662,0.078172,0.170007,0.00160925,0.00520662
guesthost_Tyr,PA,65,20.0,2,1,3-exp,-25667.2,0.998929,0.0741989,0.000417819,0.000914448,0.721529,0.000328992,0.70458,0.073386,0.755356,0.000786929,0.0276225,0.108703,0.16657,0.00279554,0.0283417
guesthost_Tyr,PA,65,20.0,2,3,2-exp,-18490.1,0.986848,0.0315167,7.99833e-05,0.00309448,0.944407,4.76706e-05,0.012097,0.0772338,0.37023,0.000247126,0.00181752,0.0772338,0.37023,0.000247126,0.00181752
guesthost_Trp,PA,40,53.0,0,1,3-exp,-32580.0,0.997973,0.0632219,7.17699e-05,0.0222185,0.858391,7.03417e-05,0.00145308,0.161505,0.17502,0.000967866,0.000982519,1.0,0.0158831,0.00604264,0.000204888
guesthost_Trp,PA,40,53.0,0,2,3-exp,-12110.4,0.998714,0.069449,0.000101218,0.0238369,1.0,0.000127304,0.00283946,0.126742,0.173643,0.00183955,0.00247115,0.758126,0.031135,0.00710862,0.000565796
guesthost_Trp,PA,40,53.0,0,3,1-exp,-246.038,0.967704,0.526221,0.0116577,0.526221,0.83821,0.0116577,0.0221309,,,,,,,,
guesthost_Trp,PA,40,53.0,1,0,3-exp,-20948.8,0.982459,0.00761665,2.64909e-05,0.00512426,0.558614,2.41741,285469.0,0.00512442,0.545076,2.49649,285469.0,0.0144722,0.135499,0.000388181,0.0140418
guesthost_Trp,PA,40,53.0,1,2,3-exp,-8187.54,0.958394,0.00570713,0.000278239,0.00148027,0.624912,0.00143156,0.392338,0.00320098,0.822018,0.0010791,0.650918,0.00724219,0.296986,0.000438187,0.0862979
