peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Tyr,PA,35,20,0,1,3-exp,-26850.9,0.998143,0.063021,5.99778e-05,0.00759385,0.733928,3.99573e-05,0.00246934,0.132319,0.386355,0.000319573,0.000784805,0.749238,0.00844277,0.0104778,0.000216601
guesthost_Tyr,PA,35,20,0,2,2-exp,-5622.06,0.839988,0.146927,0.0014875,0.112773,0.877411,0.00180675,0.0102634,1,0.0479783,0.0184386,0.00244966,1,0.0479783,0.0184386,0.00244966
guesthost_Tyr,PA,35,20,0,3,2-exp,-1387.21,0.998133,0.174947,0.000937408,0.16726,0.977211,0.00153872,0.0046376,0.877311,0.0131061,0.220572,0.00430376,0.877311,0.0131061,0.220572,0.00430376
guesthost_Tyr,PA,35,20,1,0,3-exp,-18457.4,0.988265,0.0180045,5.00913e-05,0.00191928,1,7.51484e-05,0.0419792,0.0204627,0.440722,0.000376928,0.00482893,0.0579559,0.121935,0.000793825,0.00514796
guesthost_Tyr,PA,35,20,1,2,3-exp,-22302.7,0.975072,0.00944407,3.69275e-05,0.00474378,0.432401,2.09988,280238,0.00474393,0.983076,0.93137,280238,0.0613771,0.0444663,0.000760515,0.000884964
guesthost_Tyr,PA,35,20,1,3,2-exp,-1230.19,0.883417,0.00824539,0.000180868,0.00320541,1,0.000218473,0.0532186,0.0413124,0.121997,0.00208338,0.00876375,0.0413124,0.121997,0.00208338,0.00876375
guesthost_Tyr,PA,35,20,2,0,2-exp,-9987.67,0.958686,0.0503912,0.000282932,0.00222932,1,0.000181145,0.0899199,0.134441,0.358237,0.000823783,0.00307019,0.134441,0.358237,0.000823783,0.00307019
guesthost_Tyr,PA,35,20,2,1,3-exp,-45812.5,0.999572,0.117535,3.91077e-05,0.0502964,0.16765,0.000836028,0.00310398,0.13303,0.815888,0.00022884,0.0032577,1,0.000565642,0.143191,0.000102329
guesthost_Tyr,PA,35,20,2,3,3-exp,-5467.42,0.862119,0.00455774,7.87249e-05,0.00293165,0.530557,1.58319,1.93757e+06,0.00293183,0.838711,1.27566,1.93757e+06,0.171043,0.00317685,0.0361875,0.000562459
