transition,kinetic_param,Cornette,Eisenberg,Engelman_GES,Hopp-Woods,Janin,Krantz,Kyte-Doolittle,Ooi,Rose,Song,Tanford,aromaticity,mol_wt,num_rings
2->0,log_tau_mean,0.1804,0.0031,0.0804,0.1490,0.1883,0.0484,0.0551,0.1575,0.0311,0.2287,0.1490,0.4326,0.2712,0.0872
2->0,log_tau_middle,0.3945,0.0782,0.0648,0.1046,0.0503,0.0230,0.4821,0.2065,0.0161,0.0884,0.1046,0.1757,0.2668,0.3511
2->0,log_tau_slow,0.0617,0.0208,0.0566,0.1132,0.0159,0.0083,0.0447,0.0227,0.0515,0.0550,0.1132,0.3413,0.1705,0.2500
2->1,A_fast,0.0270,0.2393,0.2287,0.2699,0.1635,0.2201,0.0026,0.0503,0.3411,0.1863,0.2699,0.2978,0.2089,0.2640
2->1,A_middle,0.0127,0.0003,0.0030,0.0069,0.0229,0.0283,0.0011,0.0593,0.0053,0.0056,0.0069,0.1753,0.0254,0.0133
2->1,A_slow,0.0866,0.0545,0.1092,0.3035,0.0125,0.1316,0.0050,0.0281,0.2945,0.3063,0.3035,0.1623,0.3687,0.1663
2->1,log_tau_fast,0.0054,0.1565,0.2159,0.0740,0.3760,0.4431,0.0195,0.3502,0.1634,0.0359,0.0740,0.0369,0.0145,0.0511
2->1,log_tau_mean,0.0251,0.0084,0.1260,0.3662,0.1627,0.0139,0.2842,0.2120,0.0487,0.4567,0.3662,0.5978,0.5592,0.3757
2->1,log_tau_middle,0.0448,0.0075,0.0850,0.5856,0.0578,0.0039,0.2627,0.1243,0.1431,0.6638,0.5856,0.7791,0.7178,0.5948
2->1,log_tau_slow,0.0713,0.0637,0.1515,0.1741,0.0071,0.0413,0.0001,0.0008,0.2195,0.1493,0.1741,0.3039,0.2324,0.1225
2->3,A_fast,0.0858,0.0027,0.0030,0.3053,0.0209,0.0252,0.0579,0.0034,0.1664,0.3647,0.3053,0.2222,0.4460,0.1765
2->3,A_middle,0.0466,0.6421,0.4070,0.1663,0.7635,0.6982,0.1581,0.4973,0.4344,0.0770,0.1663,0.0213,0.0189,0.1246
2->3,A_slow,0.0871,0.0022,0.0086,0.2404,0.0170,0.0228,0.0352,0.0008,0.1491,0.2907,0.2404,0.1647,0.3645,0.1218
2->3,log_tau_fast,0.3590,0.8546,0.3346,0.4869,0.6340,0.8349,0.1574,0.4935,0.8123,0.3844,0.4869,0.1871,0.1957,0.2622
2->3,log_tau_mean,0.0869,0.4824,0.5433,0.0043,0.5643,0.3453,0.3899,0.4088,0.2372,0.0036,0.0043,0.0001,0.0235,0.0002
2->3,log_tau_middle,0.1518,0.7765,0.3960,0.2650,0.7670,0.7911,0.1881,0.5428,0.5869,0.1621,0.2650,0.0594,0.0551,0.1610
2->3,log_tau_slow,0.0898,0.0109,0.0153,0.0001,0.0379,0.0057,0.0110,0.0004,0.0073,0.0025,0.0001,0.0013,0.0112,0.0349
