Nanopores,Mean accuracy,Std Dev accuracy,Mean macro_precision,Std Dev macro_precision,Mean macro_recall,Std Dev macro_recall,Mean macro_f1,Std Dev macro_f1
WT,0.8873599999999999,0.009425836832875933,0.88738,0.009349951871533896,0.8873599999999999,0.009425836832875933,0.88696,0.009427534142075521
F427A,0.93232,0.004129116128180447,0.9327399999999999,0.004215495225949129,0.93232,0.004069103095277869,0.93218,0.004163364024439834
F427Y,0.8365199999999999,0.004247540464786679,0.8384400000000001,0.005374979069726683,0.8365199999999999,0.004247540464786679,0.83672,0.004698254995208331
WT/F427A,0.9111799999999999,0.001878722970530767,0.9114600000000002,0.0018445595680270167,0.9111799999999999,0.001878722970530767,0.9112,0.0018275666882496934
WT/F427Y,0.86316,0.00600119988002397,0.86374,0.006417351478608631,0.86316,0.00600119988002397,0.8632000000000002,0.006159220729930053
F427A/F427Y,0.8909,0.006129600313234115,0.89124,0.006124246892475817,0.8909,0.006129600313234115,0.8908999999999999,0.006113264267148918
WT/F427A/F427Y,0.88476,0.0033133668677042087,0.8850800000000001,0.003320481892737858,0.8847800000000001,0.003306599461682652,0.88472,0.0032232902444552076
