nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Leu,0,1,0.9938383082535078,-1585.9111240275545,0.9566035392366329,0.02103977418579977,0.00836900213108157,0.00028420013441754943,0.17347090702302076,0.018882999447366676,0.03595681145498913,0.005515745223367751,0.002702758977474281,0.007446611657563374,0.9999999999999999,12.94189771061233,0.016946036732698542,0.028276122882137232
PA,guesthost_Leu,0,2,0.9912408423481918,-1153.2800534390547,0.6948791429471884,906473.4386147067,0.008991971653661031,12.90455421420436,0.2511021391907706,906473.4487231219,0.008992165232988831,35.42489675628966,0.11175231189045365,0.014111924483821637,0.046670806700920255,0.0026725730091344086,0.013721856028682073,6.272117311164176e-05
PA,guesthost_Leu,0,3,0.9933226037806284,-1054.7579170611466,0.29720963903311787,0.1675765611541837,0.004280232076579559,0.002257800404187753,0.8380555121556206,0.19449665850344264,0.010951948559530734,0.001141851348134147,0.10470758194033128,0.006695166434773137,0.09190959805448319,0.003453048386672115,0.020074098859010438,0.0001631772628915531
PA,guesthost_Leu,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Leu,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Leu,1,3,0.951335424180347,-773.7448839347683,0.9999999999999999,0.30363960289823977,0.004625134198362784,0.0008149275911121522,0.9999999999990049,1.9351070322444115,0.0011663162689646736,0.0016377687183168892,0.0037018733686221663,0.018793174361162696,0.9999999999999999,153.23937702666308,0.009493323835948461,0.5479022766613535
PA,guesthost_Leu,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Leu,2,1,,,,,,,,,,,,,,,,
PA,guesthost_Leu,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Leu,0,1,0.9938383082535078,-1585.9111240275545,0.9566035392366329,0.02103977418579977,0.00836900213108157,0.00028420013441754943,0.17347090702302076,0.018882999447366676,0.03595681145498913,0.005515745223367751,0.002702758977474281,0.007446611657563374,0.9999999999999999,12.94189771061233,0.016946036732698542,0.028276122882137232
PA,guesthost_Leu,0,2,0.9912408423481918,-1153.2800534390547,0.6948791429471884,906473.4386147067,0.008991971653661031,12.90455421420436,0.2511021391907706,906473.4487231219,0.008992165232988831,35.42489675628966,0.11175231189045365,0.014111924483821637,0.046670806700920255,0.0026725730091344086,0.013721856028682073,6.272117311164176e-05
PA,guesthost_Leu,0,3,0.9933226037806284,-1054.7579170611466,0.29720963903311787,0.1675765611541837,0.004280232076579559,0.002257800404187753,0.8380555121556206,0.19449665850344264,0.010951948559530734,0.001141851348134147,0.10470758194033128,0.006695166434773137,0.09190959805448319,0.003453048386672115,0.020074098859010438,0.0001631772628915531
PA,guesthost_Leu,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Leu,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Leu,1,3,0.951335424180347,-773.7448839347683,0.9999999999999999,0.30363960289823977,0.004625134198362784,0.0008149275911121522,0.9999999999990049,1.9351070322444115,0.0011663162689646736,0.0016377687183168892,0.0037018733686221663,0.018793174361162696,0.9999999999999999,153.23937702666308,0.009493323835948461,0.5479022766613535
PA,guesthost_Leu,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Leu,2,1,,,,,,,,,,,,,,,,
PA,guesthost_Leu,2,3,,,,,,,,,,,,,,,,
