nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_Phe,0,1,0.7403045744716983,-1263.1738642506375,0.5735430836396781,0.010671690363641882,0.03554533071413743,0.0006929610486902769,0.03554533071413743,0.0006929610486902769
PA,guesthost_Phe,0,2,0.9069439610419004,-1066.6674780176415,0.666200550721006,0.011132396944477912,0.03110917594553396,0.00047397958354366106,0.03110917594553396,0.00047397958354366106
PA,guesthost_Phe,0,3,0.9006156192559924,-461.48568273301055,0.6622940359386894,0.0169074637832636,0.04854537486911398,0.0011578077651140015,0.04854537486911398,0.0011578077651140015
PA,guesthost_Phe,1,0,0.8400304017438982,-1466.7734685326898,0.8863686110090795,0.017278248261748924,0.005113889542046438,7.939813265537585e-05,0.005113889542046438,7.939813265537585e-05
PA,guesthost_Phe,1,2,0.8263841838306268,-3371.519208807338,0.9129669446899457,0.012232905487556026,0.005007137422463192,5.248684927300549e-05,0.005007137422463192,5.248684927300549e-05
PA,guesthost_Phe,1,3,0.9476617966525839,-1153.4041456913653,0.855362360498985,0.012921502697496881,0.009841202820995976,0.00011786943254755889,0.009841202820995976,0.00011786943254755889
PA,guesthost_Phe,2,0,0.8751380021188955,-900.579908768172,0.9123647744397987,0.021402677773513314,0.00526125945641098,9.639918272094398e-05,0.00526125945641098,9.639918272094398e-05
PA,guesthost_Phe,2,1,0.9764848057455353,-7235.517903998793,1.0999999999999999,0.005803931081610556,0.0066608111688219165,2.3945206674283656e-05,0.0066608111688219165,2.3945206674283656e-05
PA,guesthost_Phe,2,3,0.8513243835190175,-774.2862331383566,0.9148196820736629,0.024380435617778695,0.004924301961980503,0.00010315179585542615,0.004924301961980503,0.00010315179585542615
PA,guesthost_Phe,0,1,0.7403045744716983,-1263.1738642506375,0.5735430836396781,0.010671690363641882,0.03554533071413743,0.0006929610486902769,0.03554533071413743,0.0006929610486902769
PA,guesthost_Phe,0,2,0.9069439610419004,-1066.6674780176415,0.666200550721006,0.011132396944477912,0.03110917594553396,0.00047397958354366106,0.03110917594553396,0.00047397958354366106
PA,guesthost_Phe,0,3,0.9006156192559924,-461.48568273301055,0.6622940359386894,0.0169074637832636,0.04854537486911398,0.0011578077651140015,0.04854537486911398,0.0011578077651140015
PA,guesthost_Phe,1,0,0.8400304017438982,-1466.7734685326898,0.8863686110090795,0.017278248261748924,0.005113889542046438,7.939813265537585e-05,0.005113889542046438,7.939813265537585e-05
PA,guesthost_Phe,1,2,0.8263841838306268,-3371.519208807338,0.9129669446899457,0.012232905487556026,0.005007137422463192,5.248684927300549e-05,0.005007137422463192,5.248684927300549e-05
PA,guesthost_Phe,1,3,0.9476617966525839,-1153.4041456913653,0.855362360498985,0.012921502697496881,0.009841202820995976,0.00011786943254755889,0.009841202820995976,0.00011786943254755889
PA,guesthost_Phe,2,0,0.8751380021188955,-900.579908768172,0.9123647744397987,0.021402677773513314,0.00526125945641098,9.639918272094398e-05,0.00526125945641098,9.639918272094398e-05
PA,guesthost_Phe,2,1,0.9764848057455353,-7235.517903998793,1.0999999999999999,0.005803931081610556,0.0066608111688219165,2.3945206674283656e-05,0.0066608111688219165,2.3945206674283656e-05
PA,guesthost_Phe,2,3,0.8513243835190175,-774.2862331383566,0.9148196820736629,0.024380435617778695,0.004924301961980503,0.00010315179585542615,0.004924301961980503,0.00010315179585542615
PA,guesthost_Phe,0,1,0.7403045744716983,-1263.1738642506375,0.5735430836396781,0.010671690363641882,0.03554533071413743,0.0006929610486902769,0.03554533071413743,0.0006929610486902769
PA,guesthost_Phe,0,2,0.9069439610419004,-1066.6674780176415,0.666200550721006,0.011132396944477912,0.03110917594553396,0.00047397958354366106,0.03110917594553396,0.00047397958354366106
PA,guesthost_Phe,0,3,0.9006156192559924,-461.48568273301055,0.6622940359386894,0.0169074637832636,0.04854537486911398,0.0011578077651140015,0.04854537486911398,0.0011578077651140015
PA,guesthost_Phe,1,0,0.8400304017438982,-1466.7734685326898,0.8863686110090795,0.017278248261748924,0.005113889542046438,7.939813265537585e-05,0.005113889542046438,7.939813265537585e-05
PA,guesthost_Phe,1,2,0.8263841838306268,-3371.519208807338,0.9129669446899457,0.012232905487556026,0.005007137422463192,5.248684927300549e-05,0.005007137422463192,5.248684927300549e-05
PA,guesthost_Phe,1,3,0.9476617966525839,-1153.4041456913653,0.855362360498985,0.012921502697496881,0.009841202820995976,0.00011786943254755889,0.009841202820995976,0.00011786943254755889
PA,guesthost_Phe,2,0,0.8751380021188955,-900.579908768172,0.9123647744397987,0.021402677773513314,0.00526125945641098,9.639918272094398e-05,0.00526125945641098,9.639918272094398e-05
PA,guesthost_Phe,2,1,0.9764848057455353,-7235.517903998793,1.0999999999999999,0.005803931081610556,0.0066608111688219165,2.3945206674283656e-05,0.0066608111688219165,2.3945206674283656e-05
PA,guesthost_Phe,2,3,0.8513243835190175,-774.2862331383566,0.9148196820736629,0.024380435617778695,0.004924301961980503,0.00010315179585542615,0.004924301961980503,0.00010315179585542615
PA,guesthost_Phe,0,1,0.7403045744716983,-1263.1738642506375,0.5735430836396781,0.010671690363641882,0.03554533071413743,0.0006929610486902769,0.03554533071413743,0.0006929610486902769
PA,guesthost_Phe,0,2,0.9069439610419004,-1066.6674780176415,0.666200550721006,0.011132396944477912,0.03110917594553396,0.00047397958354366106,0.03110917594553396,0.00047397958354366106
PA,guesthost_Phe,0,3,0.9006156192559924,-461.48568273301055,0.6622940359386894,0.0169074637832636,0.04854537486911398,0.0011578077651140015,0.04854537486911398,0.0011578077651140015
PA,guesthost_Phe,1,0,0.8400304017438982,-1466.7734685326898,0.8863686110090795,0.017278248261748924,0.005113889542046438,7.939813265537585e-05,0.005113889542046438,7.939813265537585e-05
PA,guesthost_Phe,1,2,0.8263841838306268,-3371.519208807338,0.9129669446899457,0.012232905487556026,0.005007137422463192,5.248684927300549e-05,0.005007137422463192,5.248684927300549e-05
PA,guesthost_Phe,1,3,0.9476617966525839,-1153.4041456913653,0.855362360498985,0.012921502697496881,0.009841202820995976,0.00011786943254755889,0.009841202820995976,0.00011786943254755889
PA,guesthost_Phe,2,0,0.8751380021188955,-900.579908768172,0.9123647744397987,0.021402677773513314,0.00526125945641098,9.639918272094398e-05,0.00526125945641098,9.639918272094398e-05
PA,guesthost_Phe,2,1,0.9764848057455353,-7235.517903998793,1.0999999999999999,0.005803931081610556,0.0066608111688219165,2.3945206674283656e-05,0.0066608111688219165,2.3945206674283656e-05
PA,guesthost_Phe,2,3,0.8513243835190175,-774.2862331383566,0.9148196820736629,0.024380435617778695,0.004924301961980503,0.00010315179585542615,0.004924301961980503,0.00010315179585542615
