nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Thr,0,1,0.9858549480733871,-16114.075070177605,0.15013028858650582,0.009288871920200531,0.020595574070834424,0.0007833649438887735,0.9999999999999999,0.007854125940728247,0.00541803626993083,7.361319001612209e-05,0.015063267469285388,0.0003167629534787058,0.5578766392496946,0.00941678295831866,0.01691350078067414,0.00011785295674377301
PA,guesthost_Thr,0,2,0.9832539388615573,-14992.340477811627,0.21988937856882834,0.017356907439463515,0.014619328795960075,0.0005801697640244271,0.9885127343776962,0.013692072141039707,0.004588217016843378,9.647521466670156e-05,0.015168289605330084,0.0003526267918098284,0.3682480839538108,0.006981004425162424,0.013335839657294471,8.522941867997881e-05
PA,guesthost_Thr,0,3,0.9513727849240479,-2664.5268096776413,0.9999999999999999,0.02584523434867904,0.003556414631069042,0.0001670825935908349,0.13916709266201627,0.014325205129165566,0.02643065124432112,0.002809453977053344,0.021489104648302622,0.0016150414774299428,0.5015973732715173,0.03213538862073274,0.018013569967450262,0.0004962227535885121
PA,guesthost_Thr,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,1,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,0,1,0.9858549480733871,-16114.075070177605,0.15013028858650582,0.009288871920200531,0.020595574070834424,0.0007833649438887735,0.9999999999999999,0.007854125940728247,0.00541803626993083,7.361319001612209e-05,0.015063267469285388,0.0003167629534787058,0.5578766392496946,0.00941678295831866,0.01691350078067414,0.00011785295674377301
PA,guesthost_Thr,0,2,0.9832539388615573,-14992.340477811627,0.21988937856882834,0.017356907439463515,0.014619328795960075,0.0005801697640244271,0.9885127343776962,0.013692072141039707,0.004588217016843378,9.647521466670156e-05,0.015168289605330084,0.0003526267918098284,0.3682480839538108,0.006981004425162424,0.013335839657294471,8.522941867997881e-05
PA,guesthost_Thr,0,3,0.9513727849240479,-2664.5268096776413,0.9999999999999999,0.02584523434867904,0.003556414631069042,0.0001670825935908349,0.13916709266201627,0.014325205129165566,0.02643065124432112,0.002809453977053344,0.021489104648302622,0.0016150414774299428,0.5015973732715173,0.03213538862073274,0.018013569967450262,0.0004962227535885121
PA,guesthost_Thr,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,1,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,0,1,0.9858549480733871,-16114.075070177605,0.15013028858650582,0.009288871920200531,0.020595574070834424,0.0007833649438887735,0.9999999999999999,0.007854125940728247,0.00541803626993083,7.361319001612209e-05,0.015063267469285388,0.0003167629534787058,0.5578766392496946,0.00941678295831866,0.01691350078067414,0.00011785295674377301
PA,guesthost_Thr,0,2,0.9832539388615573,-14992.340477811627,0.21988937856882834,0.017356907439463515,0.014619328795960075,0.0005801697640244271,0.9885127343776962,0.013692072141039707,0.004588217016843378,9.647521466670156e-05,0.015168289605330084,0.0003526267918098284,0.3682480839538108,0.006981004425162424,0.013335839657294471,8.522941867997881e-05
PA,guesthost_Thr,0,3,0.9513727849240479,-2664.5268096776413,0.9999999999999999,0.02584523434867904,0.003556414631069042,0.0001670825935908349,0.13916709266201627,0.014325205129165566,0.02643065124432112,0.002809453977053344,0.021489104648302622,0.0016150414774299428,0.5015973732715173,0.03213538862073274,0.018013569967450262,0.0004962227535885121
PA,guesthost_Thr,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,1,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,0,1,0.9858549480733871,-16114.075070177605,0.15013028858650582,0.009288871920200531,0.020595574070834424,0.0007833649438887735,0.9999999999999999,0.007854125940728247,0.00541803626993083,7.361319001612209e-05,0.015063267469285388,0.0003167629534787058,0.5578766392496946,0.00941678295831866,0.01691350078067414,0.00011785295674377301
PA,guesthost_Thr,0,2,0.9832539388615573,-14992.340477811627,0.21988937856882834,0.017356907439463515,0.014619328795960075,0.0005801697640244271,0.9885127343776962,0.013692072141039707,0.004588217016843378,9.647521466670156e-05,0.015168289605330084,0.0003526267918098284,0.3682480839538108,0.006981004425162424,0.013335839657294471,8.522941867997881e-05
PA,guesthost_Thr,0,3,0.9513727849240479,-2664.5268096776413,0.9999999999999999,0.02584523434867904,0.003556414631069042,0.0001670825935908349,0.13916709266201627,0.014325205129165566,0.02643065124432112,0.002809453977053344,0.021489104648302622,0.0016150414774299428,0.5015973732715173,0.03213538862073274,0.018013569967450262,0.0004962227535885121
PA,guesthost_Thr,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Thr,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,1,,,,,,,,,,,,,,,,
PA,guesthost_Thr,2,3,,,,,,,,,,,,,,,,
