nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Phe,0,1,0.9907147300012037,-4317.103902656563,0.6850242361080032,0.020374735087594024,0.0032985577083158445,0.00018362826530135705,0.5181585558873619,0.013303387337726465,0.018269642178649168,0.00039225014804698387,0.03855196742434249,0.0019646071423480333,0.11562326996607944,0.0034357907435950776,0.016183667919493168,7.141963095684936e-05
PA,guesthost_Phe,0,2,0.9904491814827571,-2053.0834893989036,0.7412268396834774,0.08440299260769164,0.002231022549427156,0.00031972018182453954,0.4498159401561834,0.01862383106805603,0.01695420600068663,0.0011854152182355783,0.17916429706203046,0.017302914035331157,0.053486856907493774,0.0018918541645620056,0.01886290102526346,0.000125561305903907
PA,guesthost_Phe,0,3,0.9959855501798401,-1069.3557772655045,0.8005019326898927,0.019720957432488976,0.007446044128697177,0.00035923439187945645,0.3242905523168854,0.07786220371467117,0.05379386208978221,0.010583600770549949,0.048368389364598065,0.09450191976628573,0.11945273975268574,0.07664141288970755,0.029183150591296062,0.0002766623952363789
PA,guesthost_Phe,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,3,0.9792127749426529,-1486.9215842883957,0.9999999999687376,0.5378162786969487,0.0014116845865242737,0.0007459506626912966,0.5013902717800425,0.09862774040653438,0.006146327053896653,0.0017908945907722088,0.30994781052472486,0.10507235901748656,0.014213576787556347,0.001272789606029145,0.008898860183510554,0.00046143087122986026
PA,guesthost_Phe,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,2,1,0.9842375939271398,-7974.905878625888,0.4910124458990362,559450.7707102306,0.0050785640820832645,1.9024149007593918,0.5680234756013549,559450.8365621779,0.005081441329149121,1.2974019021844547,0.22345611717907596,0.1638498617768117,0.009839393978190808,0.0012380151527759313,0.00757868891020805,4.776782462113625e-05
PA,guesthost_Phe,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Phe,0,1,0.9907147300012037,-4317.103902656563,0.6850242361080032,0.020374735087594024,0.0032985577083158445,0.00018362826530135705,0.5181585558873619,0.013303387337726465,0.018269642178649168,0.00039225014804698387,0.03855196742434249,0.0019646071423480333,0.11562326996607944,0.0034357907435950776,0.016183667919493168,7.141963095684936e-05
PA,guesthost_Phe,0,2,0.9904491814827571,-2053.0834893989036,0.7412268396834774,0.08440299260769164,0.002231022549427156,0.00031972018182453954,0.4498159401561834,0.01862383106805603,0.01695420600068663,0.0011854152182355783,0.17916429706203046,0.017302914035331157,0.053486856907493774,0.0018918541645620056,0.01886290102526346,0.000125561305903907
PA,guesthost_Phe,0,3,0.9959855501798401,-1069.3557772655045,0.8005019326898927,0.019720957432488976,0.007446044128697177,0.00035923439187945645,0.3242905523168854,0.07786220371467117,0.05379386208978221,0.010583600770549949,0.048368389364598065,0.09450191976628573,0.11945273975268574,0.07664141288970755,0.029183150591296062,0.0002766623952363789
PA,guesthost_Phe,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,3,0.9792127749426529,-1486.9215842883957,0.9999999999687376,0.5378162786969487,0.0014116845865242737,0.0007459506626912966,0.5013902717800425,0.09862774040653438,0.006146327053896653,0.0017908945907722088,0.30994781052472486,0.10507235901748656,0.014213576787556347,0.001272789606029145,0.008898860183510554,0.00046143087122986026
PA,guesthost_Phe,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,2,1,0.9842375939271398,-7974.905878625888,0.4910124458990362,559450.7707102306,0.0050785640820832645,1.9024149007593918,0.5680234756013549,559450.8365621779,0.005081441329149121,1.2974019021844547,0.22345611717907596,0.1638498617768117,0.009839393978190808,0.0012380151527759313,0.00757868891020805,4.776782462113625e-05
PA,guesthost_Phe,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Phe,0,1,0.9907147300012037,-4317.103902656563,0.6850242361080032,0.020374735087594024,0.0032985577083158445,0.00018362826530135705,0.5181585558873619,0.013303387337726465,0.018269642178649168,0.00039225014804698387,0.03855196742434249,0.0019646071423480333,0.11562326996607944,0.0034357907435950776,0.016183667919493168,7.141963095684936e-05
PA,guesthost_Phe,0,2,0.9904491814827571,-2053.0834893989036,0.7412268396834774,0.08440299260769164,0.002231022549427156,0.00031972018182453954,0.4498159401561834,0.01862383106805603,0.01695420600068663,0.0011854152182355783,0.17916429706203046,0.017302914035331157,0.053486856907493774,0.0018918541645620056,0.01886290102526346,0.000125561305903907
PA,guesthost_Phe,0,3,0.9959855501798401,-1069.3557772655045,0.8005019326898927,0.019720957432488976,0.007446044128697177,0.00035923439187945645,0.3242905523168854,0.07786220371467117,0.05379386208978221,0.010583600770549949,0.048368389364598065,0.09450191976628573,0.11945273975268574,0.07664141288970755,0.029183150591296062,0.0002766623952363789
PA,guesthost_Phe,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,3,0.9792127749426529,-1486.9215842883957,0.9999999999687376,0.5378162786969487,0.0014116845865242737,0.0007459506626912966,0.5013902717800425,0.09862774040653438,0.006146327053896653,0.0017908945907722088,0.30994781052472486,0.10507235901748656,0.014213576787556347,0.001272789606029145,0.008898860183510554,0.00046143087122986026
PA,guesthost_Phe,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,2,1,0.9842375939271398,-7974.905878625888,0.4910124458990362,559450.7707102306,0.0050785640820832645,1.9024149007593918,0.5680234756013549,559450.8365621779,0.005081441329149121,1.2974019021844547,0.22345611717907596,0.1638498617768117,0.009839393978190808,0.0012380151527759313,0.00757868891020805,4.776782462113625e-05
PA,guesthost_Phe,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Phe,0,1,0.9907147300012037,-4317.103902656563,0.6850242361080032,0.020374735087594024,0.0032985577083158445,0.00018362826530135705,0.5181585558873619,0.013303387337726465,0.018269642178649168,0.00039225014804698387,0.03855196742434249,0.0019646071423480333,0.11562326996607944,0.0034357907435950776,0.016183667919493168,7.141963095684936e-05
PA,guesthost_Phe,0,2,0.9904491814827571,-2053.0834893989036,0.7412268396834774,0.08440299260769164,0.002231022549427156,0.00031972018182453954,0.4498159401561834,0.01862383106805603,0.01695420600068663,0.0011854152182355783,0.17916429706203046,0.017302914035331157,0.053486856907493774,0.0018918541645620056,0.01886290102526346,0.000125561305903907
PA,guesthost_Phe,0,3,0.9959855501798401,-1069.3557772655045,0.8005019326898927,0.019720957432488976,0.007446044128697177,0.00035923439187945645,0.3242905523168854,0.07786220371467117,0.05379386208978221,0.010583600770549949,0.048368389364598065,0.09450191976628573,0.11945273975268574,0.07664141288970755,0.029183150591296062,0.0002766623952363789
PA,guesthost_Phe,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Phe,1,3,0.9792127749426529,-1486.9215842883957,0.9999999999687376,0.5378162786969487,0.0014116845865242737,0.0007459506626912966,0.5013902717800425,0.09862774040653438,0.006146327053896653,0.0017908945907722088,0.30994781052472486,0.10507235901748656,0.014213576787556347,0.001272789606029145,0.008898860183510554,0.00046143087122986026
PA,guesthost_Phe,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Phe,2,1,0.9842375939271398,-7974.905878625888,0.4910124458990362,559450.7707102306,0.0050785640820832645,1.9024149007593918,0.5680234756013549,559450.8365621779,0.005081441329149121,1.2974019021844547,0.22345611717907596,0.1638498617768117,0.009839393978190808,0.0012380151527759313,0.00757868891020805,4.776782462113625e-05
PA,guesthost_Phe,2,3,,,,,,,,,,,,,,,,
