nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Thr,0,1,0.9776225120703469,-14393.950685417018,0.9999999999999977,0.004379194618927663,0.00742170292427265,3.42931418569405e-05,0.024943025667689658,0.00035628383008911777,0.43985945549544775,0.006238228034137269,0.01839312861287158,0.0001508755264443708
PA,guesthost_Thr,0,2,0.9763563421344017,-13743.5453000182,0.9999999999999919,0.004530188744880364,0.006946822238460819,3.35408208811885e-05,0.023221118188711032,0.00039473481601388785,0.29926624534431523,0.004733452551433128,0.013896119091492899,0.00010259372211842662
PA,guesthost_Thr,0,3,0.9312860489513769,-2372.0925124660375,0.99999999999994,0.01889499869076892,0.004906211282357697,0.0001121850687705541,0.05003309365764726,0.001804603311496068,0.32483844533222334,0.012361874709288944,0.021158883641269062,0.0005938241575520668
PA,guesthost_Thr,1,0,0.33748775191235925,-1219.1694923615696,0.9999994345068122,0.26724365558078544,0.0016397681215340385,0.0007358079327439081,0.37810063475427713,0.3341710083791566,0.0032024940674833333,0.0004445334605487795,0.0028506322339685915,0.0002973254680102727
PA,guesthost_Thr,1,2,0.6553991946597162,-4874.771831930897,0.9999994085206749,0.13776477210035068,0.001461971853534041,0.0003500349351580656,0.7066093888274932,0.22893572162218423,0.0026257616472469573,0.0001196413582197044,0.0033173588215757604,0.00016228921179096254
PA,guesthost_Thr,1,3,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,
PA,guesthost_Thr,2,1,0.8641871519340486,-5541.032813722888,0.9999999992379869,0.0600783587328819,0.0019595615308432325,0.00020773336018819303,0.46296117328316205,0.06809324690269333,0.004628397804311131,0.00016866492816100808,0.004102330007255113,7.055517340826578e-05
PA,guesthost_Thr,2,3,0.8840631254088545,-26901.40056450284,0.999999999486427,0.06641149878531105,0.0019169187408943217,0.00013852252854849298,0.9967166258719384,0.09389559944359457,0.0035456268260546588,6.134482210892258e-05,0.0054509039465760745,4.61555406723941e-05
PA,guesthost_Thr,0,1,0.9776225120703469,-14393.950685417018,0.9999999999999977,0.004379194618927663,0.00742170292427265,3.42931418569405e-05,0.024943025667689658,0.00035628383008911777,0.43985945549544775,0.006238228034137269,0.01839312861287158,0.0001508755264443708
PA,guesthost_Thr,0,2,0.9763563421344017,-13743.5453000182,0.9999999999999919,0.004530188744880364,0.006946822238460819,3.35408208811885e-05,0.023221118188711032,0.00039473481601388785,0.29926624534431523,0.004733452551433128,0.013896119091492899,0.00010259372211842662
PA,guesthost_Thr,0,3,0.9312860489513769,-2372.0925124660375,0.99999999999994,0.01889499869076892,0.004906211282357697,0.0001121850687705541,0.05003309365764726,0.001804603311496068,0.32483844533222334,0.012361874709288944,0.021158883641269062,0.0005938241575520668
PA,guesthost_Thr,1,0,0.33748775191235925,-1219.1694923615696,0.9999994345068122,0.26724365558078544,0.0016397681215340385,0.0007358079327439081,0.37810063475427713,0.3341710083791566,0.0032024940674833333,0.0004445334605487795,0.0028506322339685915,0.0002973254680102727
PA,guesthost_Thr,1,2,0.6553991946597162,-4874.771831930897,0.9999994085206749,0.13776477210035068,0.001461971853534041,0.0003500349351580656,0.7066093888274932,0.22893572162218423,0.0026257616472469573,0.0001196413582197044,0.0033173588215757604,0.00016228921179096254
PA,guesthost_Thr,1,3,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,
PA,guesthost_Thr,2,1,0.8641871519340486,-5541.032813722888,0.9999999992379869,0.0600783587328819,0.0019595615308432325,0.00020773336018819303,0.46296117328316205,0.06809324690269333,0.004628397804311131,0.00016866492816100808,0.004102330007255113,7.055517340826578e-05
PA,guesthost_Thr,2,3,0.8840631254088545,-26901.40056450284,0.999999999486427,0.06641149878531105,0.0019169187408943217,0.00013852252854849298,0.9967166258719384,0.09389559944359457,0.0035456268260546588,6.134482210892258e-05,0.0054509039465760745,4.61555406723941e-05
PA,guesthost_Thr,0,1,0.9776225120703469,-14393.950685417018,0.9999999999999977,0.004379194618927663,0.00742170292427265,3.42931418569405e-05,0.024943025667689658,0.00035628383008911777,0.43985945549544775,0.006238228034137269,0.01839312861287158,0.0001508755264443708
PA,guesthost_Thr,0,2,0.9763563421344017,-13743.5453000182,0.9999999999999919,0.004530188744880364,0.006946822238460819,3.35408208811885e-05,0.023221118188711032,0.00039473481601388785,0.29926624534431523,0.004733452551433128,0.013896119091492899,0.00010259372211842662
PA,guesthost_Thr,0,3,0.9312860489513769,-2372.0925124660375,0.99999999999994,0.01889499869076892,0.004906211282357697,0.0001121850687705541,0.05003309365764726,0.001804603311496068,0.32483844533222334,0.012361874709288944,0.021158883641269062,0.0005938241575520668
PA,guesthost_Thr,1,0,0.33748775191235925,-1219.1694923615696,0.9999994345068122,0.26724365558078544,0.0016397681215340385,0.0007358079327439081,0.37810063475427713,0.3341710083791566,0.0032024940674833333,0.0004445334605487795,0.0028506322339685915,0.0002973254680102727
PA,guesthost_Thr,1,2,0.6553991946597162,-4874.771831930897,0.9999994085206749,0.13776477210035068,0.001461971853534041,0.0003500349351580656,0.7066093888274932,0.22893572162218423,0.0026257616472469573,0.0001196413582197044,0.0033173588215757604,0.00016228921179096254
PA,guesthost_Thr,1,3,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,
PA,guesthost_Thr,2,1,0.8641871519340486,-5541.032813722888,0.9999999992379869,0.0600783587328819,0.0019595615308432325,0.00020773336018819303,0.46296117328316205,0.06809324690269333,0.004628397804311131,0.00016866492816100808,0.004102330007255113,7.055517340826578e-05
PA,guesthost_Thr,2,3,0.8840631254088545,-26901.40056450284,0.999999999486427,0.06641149878531105,0.0019169187408943217,0.00013852252854849298,0.9967166258719384,0.09389559944359457,0.0035456268260546588,6.134482210892258e-05,0.0054509039465760745,4.61555406723941e-05
PA,guesthost_Thr,0,1,0.9776225120703469,-14393.950685417018,0.9999999999999977,0.004379194618927663,0.00742170292427265,3.42931418569405e-05,0.024943025667689658,0.00035628383008911777,0.43985945549544775,0.006238228034137269,0.01839312861287158,0.0001508755264443708
PA,guesthost_Thr,0,2,0.9763563421344017,-13743.5453000182,0.9999999999999919,0.004530188744880364,0.006946822238460819,3.35408208811885e-05,0.023221118188711032,0.00039473481601388785,0.29926624534431523,0.004733452551433128,0.013896119091492899,0.00010259372211842662
PA,guesthost_Thr,0,3,0.9312860489513769,-2372.0925124660375,0.99999999999994,0.01889499869076892,0.004906211282357697,0.0001121850687705541,0.05003309365764726,0.001804603311496068,0.32483844533222334,0.012361874709288944,0.021158883641269062,0.0005938241575520668
PA,guesthost_Thr,1,0,0.33748775191235925,-1219.1694923615696,0.9999994345068122,0.26724365558078544,0.0016397681215340385,0.0007358079327439081,0.37810063475427713,0.3341710083791566,0.0032024940674833333,0.0004445334605487795,0.0028506322339685915,0.0002973254680102727
PA,guesthost_Thr,1,2,0.6553991946597162,-4874.771831930897,0.9999994085206749,0.13776477210035068,0.001461971853534041,0.0003500349351580656,0.7066093888274932,0.22893572162218423,0.0026257616472469573,0.0001196413582197044,0.0033173588215757604,0.00016228921179096254
PA,guesthost_Thr,1,3,,,,,,,,,,,,
PA,guesthost_Thr,2,0,,,,,,,,,,,,
PA,guesthost_Thr,2,1,0.8641871519340486,-5541.032813722888,0.9999999992379869,0.0600783587328819,0.0019595615308432325,0.00020773336018819303,0.46296117328316205,0.06809324690269333,0.004628397804311131,0.00016866492816100808,0.004102330007255113,7.055517340826578e-05
PA,guesthost_Thr,2,3,0.8840631254088545,-26901.40056450284,0.999999999486427,0.06641149878531105,0.0019169187408943217,0.00013852252854849298,0.9967166258719384,0.09389559944359457,0.0035456268260546588,6.134482210892258e-05,0.0054509039465760745,4.61555406723941e-05
