nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_Thr,0,1,0.26576339361822365,-1194.3513407504252,0.4043614190494039,0.005694407007017791,0.16805716538542378,0.004541004632213208,0.16805716538542378,0.004541004632213208
PA,guesthost_Thr,0,2,0.29974991989235145,-1331.5193884778494,0.415106581722185,0.005841343393515614,0.10515984666956768,0.0026546105821093906,0.10515984666956768,0.0026546105821093906
PA,guesthost_Thr,0,3,0.321984998657207,-359.70649856688067,0.41066953957630203,0.011393577263346218,0.15021156733101562,0.0073354183811014,0.15021156733101562,0.0073354183811014
PA,guesthost_Thr,1,0,0.31546520578274106,-1138.8744764352682,1.050590911134907,0.03387600742841539,0.002564512533635836,6.964790352713105e-05,0.002564512533635836,6.964790352713105e-05
PA,guesthost_Thr,1,2,0.610954814959562,-4337.607616759377,1.0999999999999097,0.019920320214598095,0.0025901980110397916,3.4933813318452685e-05,0.0025901980110397916,3.4933813318452685e-05
PA,guesthost_Thr,1,3,0.6149731990934739,-3927.0617018014123,1.0999999999999999,0.024117636779700635,0.0025940781239873396,4.2319695851723355e-05,0.0025940781239873396,4.2319695851723355e-05
PA,guesthost_Thr,2,0,0.24277136892262563,-1049.6196469358017,1.0999999999999999,0.06397186528298325,0.0022261273911610632,0.00010798429097931218,0.0022261273911610632,0.00010798429097931218
PA,guesthost_Thr,2,1,0.8399910461763894,-5102.412645372133,1.0790083981653327,0.012601126446373472,0.0036112239518336442,2.9946849772432445e-05,0.0036112239518336442,2.9946849772432445e-05
PA,guesthost_Thr,2,3,0.8296678468706329,-22119.92107986189,1.099999999999999,0.007645221322874038,0.003869085398941312,1.8896785873826423e-05,0.003869085398941312,1.8896785873826423e-05
PA,guesthost_Thr,0,1,0.26576339361822365,-1194.3513407504252,0.4043614190494039,0.005694407007017791,0.16805716538542378,0.004541004632213208,0.16805716538542378,0.004541004632213208
PA,guesthost_Thr,0,2,0.29974991989235145,-1331.5193884778494,0.415106581722185,0.005841343393515614,0.10515984666956768,0.0026546105821093906,0.10515984666956768,0.0026546105821093906
PA,guesthost_Thr,0,3,0.321984998657207,-359.70649856688067,0.41066953957630203,0.011393577263346218,0.15021156733101562,0.0073354183811014,0.15021156733101562,0.0073354183811014
PA,guesthost_Thr,1,0,0.31546520578274106,-1138.8744764352682,1.050590911134907,0.03387600742841539,0.002564512533635836,6.964790352713105e-05,0.002564512533635836,6.964790352713105e-05
PA,guesthost_Thr,1,2,0.610954814959562,-4337.607616759377,1.0999999999999097,0.019920320214598095,0.0025901980110397916,3.4933813318452685e-05,0.0025901980110397916,3.4933813318452685e-05
PA,guesthost_Thr,1,3,0.6149731990934739,-3927.0617018014123,1.0999999999999999,0.024117636779700635,0.0025940781239873396,4.2319695851723355e-05,0.0025940781239873396,4.2319695851723355e-05
PA,guesthost_Thr,2,0,0.24277136892262563,-1049.6196469358017,1.0999999999999999,0.06397186528298325,0.0022261273911610632,0.00010798429097931218,0.0022261273911610632,0.00010798429097931218
PA,guesthost_Thr,2,1,0.8399910461763894,-5102.412645372133,1.0790083981653327,0.012601126446373472,0.0036112239518336442,2.9946849772432445e-05,0.0036112239518336442,2.9946849772432445e-05
PA,guesthost_Thr,2,3,0.8296678468706329,-22119.92107986189,1.099999999999999,0.007645221322874038,0.003869085398941312,1.8896785873826423e-05,0.003869085398941312,1.8896785873826423e-05
PA,guesthost_Thr,0,1,0.26576339361822365,-1194.3513407504252,0.4043614190494039,0.005694407007017791,0.16805716538542378,0.004541004632213208,0.16805716538542378,0.004541004632213208
PA,guesthost_Thr,0,2,0.29974991989235145,-1331.5193884778494,0.415106581722185,0.005841343393515614,0.10515984666956768,0.0026546105821093906,0.10515984666956768,0.0026546105821093906
PA,guesthost_Thr,0,3,0.321984998657207,-359.70649856688067,0.41066953957630203,0.011393577263346218,0.15021156733101562,0.0073354183811014,0.15021156733101562,0.0073354183811014
PA,guesthost_Thr,1,0,0.31546520578274106,-1138.8744764352682,1.050590911134907,0.03387600742841539,0.002564512533635836,6.964790352713105e-05,0.002564512533635836,6.964790352713105e-05
PA,guesthost_Thr,1,2,0.610954814959562,-4337.607616759377,1.0999999999999097,0.019920320214598095,0.0025901980110397916,3.4933813318452685e-05,0.0025901980110397916,3.4933813318452685e-05
PA,guesthost_Thr,1,3,0.6149731990934739,-3927.0617018014123,1.0999999999999999,0.024117636779700635,0.0025940781239873396,4.2319695851723355e-05,0.0025940781239873396,4.2319695851723355e-05
PA,guesthost_Thr,2,0,0.24277136892262563,-1049.6196469358017,1.0999999999999999,0.06397186528298325,0.0022261273911610632,0.00010798429097931218,0.0022261273911610632,0.00010798429097931218
PA,guesthost_Thr,2,1,0.8399910461763894,-5102.412645372133,1.0790083981653327,0.012601126446373472,0.0036112239518336442,2.9946849772432445e-05,0.0036112239518336442,2.9946849772432445e-05
PA,guesthost_Thr,2,3,0.8296678468706329,-22119.92107986189,1.099999999999999,0.007645221322874038,0.003869085398941312,1.8896785873826423e-05,0.003869085398941312,1.8896785873826423e-05
PA,guesthost_Thr,0,1,0.26576339361822365,-1194.3513407504252,0.4043614190494039,0.005694407007017791,0.16805716538542378,0.004541004632213208,0.16805716538542378,0.004541004632213208
PA,guesthost_Thr,0,2,0.29974991989235145,-1331.5193884778494,0.415106581722185,0.005841343393515614,0.10515984666956768,0.0026546105821093906,0.10515984666956768,0.0026546105821093906
PA,guesthost_Thr,0,3,0.321984998657207,-359.70649856688067,0.41066953957630203,0.011393577263346218,0.15021156733101562,0.0073354183811014,0.15021156733101562,0.0073354183811014
PA,guesthost_Thr,1,0,0.31546520578274106,-1138.8744764352682,1.050590911134907,0.03387600742841539,0.002564512533635836,6.964790352713105e-05,0.002564512533635836,6.964790352713105e-05
PA,guesthost_Thr,1,2,0.610954814959562,-4337.607616759377,1.0999999999999097,0.019920320214598095,0.0025901980110397916,3.4933813318452685e-05,0.0025901980110397916,3.4933813318452685e-05
PA,guesthost_Thr,1,3,0.6149731990934739,-3927.0617018014123,1.0999999999999999,0.024117636779700635,0.0025940781239873396,4.2319695851723355e-05,0.0025940781239873396,4.2319695851723355e-05
PA,guesthost_Thr,2,0,0.24277136892262563,-1049.6196469358017,1.0999999999999999,0.06397186528298325,0.0022261273911610632,0.00010798429097931218,0.0022261273911610632,0.00010798429097931218
PA,guesthost_Thr,2,1,0.8399910461763894,-5102.412645372133,1.0790083981653327,0.012601126446373472,0.0036112239518336442,2.9946849772432445e-05,0.0036112239518336442,2.9946849772432445e-05
PA,guesthost_Thr,2,3,0.8296678468706329,-22119.92107986189,1.099999999999999,0.007645221322874038,0.003869085398941312,1.8896785873826423e-05,0.003869085398941312,1.8896785873826423e-05
