nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_Ala,0,1,0.3029489609776901,-379.93374964412624,0.40786305585140725,0.010758704605225464,0.16770037220095252,0.008024141716724961,0.16770037220095252,0.008024141716724961
PA,guesthost_Ala,0,2,0.3596404381666183,-634.3034643106366,0.4214138626008408,0.009194948469857162,0.09837226118895023,0.00353354695993606,0.09837226118895023,0.00353354695993606
PA,guesthost_Ala,0,3,0.36808787016820377,-223.2027669382909,0.42033840115197346,0.015560907745795584,0.16215027949974284,0.009938303027805354,0.16215027949974284,0.009938303027805354
PA,guesthost_Ala,1,0,0.5497601007423127,-702.7169935007694,0.8351343932016116,0.02821617875719772,0.0038572047183648957,0.00011910038543448447,0.0038572047183648957,0.00011910038543448447
PA,guesthost_Ala,1,2,0.5810005143471498,-1171.5377486550678,1.0999999999999999,0.05151944347397872,0.0023911475742923634,8.439662436022708e-05,0.0023911475742923634,8.439662436022708e-05
PA,guesthost_Ala,1,3,0.6785504651170553,-1251.727845435843,1.0999999999999999,0.044029365817674714,0.0025312005743502613,7.444142963754943e-05,0.0025312005743502613,7.444142963754943e-05
PA,guesthost_Ala,2,0,0.14808727024708235,-197.10297219667214,1.0999999999999994,0.1200680956767906,0.0022801154292303996,0.0002152385685721865,0.0022801154292303996,0.0002152385685721865
PA,guesthost_Ala,2,1,0.87671125331048,-1767.5404803058993,1.0872546347781287,0.020017585254755246,0.0038700487074122872,5.0223652970916415e-05,0.0038700487074122872,5.0223652970916415e-05
PA,guesthost_Ala,2,3,0.9132038533288709,-8549.544806608312,1.0999999999999999,0.009111471389879264,0.004286467015160477,2.4502046496007233e-05,0.004286467015160477,2.4502046496007233e-05
PA,guesthost_Ala,0,1,0.3029489609776901,-379.93374964412624,0.40786305585140725,0.010758704605225464,0.16770037220095252,0.008024141716724961,0.16770037220095252,0.008024141716724961
PA,guesthost_Ala,0,2,0.3596404381666183,-634.3034643106366,0.4214138626008408,0.009194948469857162,0.09837226118895023,0.00353354695993606,0.09837226118895023,0.00353354695993606
PA,guesthost_Ala,0,3,0.36808787016820377,-223.2027669382909,0.42033840115197346,0.015560907745795584,0.16215027949974284,0.009938303027805354,0.16215027949974284,0.009938303027805354
PA,guesthost_Ala,1,0,0.5497601007423127,-702.7169935007694,0.8351343932016116,0.02821617875719772,0.0038572047183648957,0.00011910038543448447,0.0038572047183648957,0.00011910038543448447
PA,guesthost_Ala,1,2,0.5810005143471498,-1171.5377486550678,1.0999999999999999,0.05151944347397872,0.0023911475742923634,8.439662436022708e-05,0.0023911475742923634,8.439662436022708e-05
PA,guesthost_Ala,1,3,0.6785504651170553,-1251.727845435843,1.0999999999999999,0.044029365817674714,0.0025312005743502613,7.444142963754943e-05,0.0025312005743502613,7.444142963754943e-05
PA,guesthost_Ala,2,0,0.14808727024708235,-197.10297219667214,1.0999999999999994,0.1200680956767906,0.0022801154292303996,0.0002152385685721865,0.0022801154292303996,0.0002152385685721865
