nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A,A_err,tau,tau_err,tau_mean,tau_mean_err
PA,guesthost_TrpDL,0,1,0.5183010024117654,-13414.224469670873,0.4513285431004876,0.00240264668708758,0.35332486312799244,0.0025171156799597785,0.35332486312799244,0.0025171156799597785
PA,guesthost_TrpDL,0,2,0.7424738475163485,-484.7536980857127,0.5006990755182696,0.014027034173039729,0.8496520709141676,0.02686250320887889,0.8496520709141676,0.02686250320887889
PA,guesthost_TrpDL,0,3,0.7722894166629345,-145.63670912813137,0.525207126293213,0.025999404486421664,1.0520209724063128,0.05955689624698786,1.0520209724063128,0.05955689624698786
PA,guesthost_TrpDL,1,0,0.4220181602988715,-10052.301424236171,0.48800507275761634,0.0029891299984858358,0.015463051734678915,0.00013389166423124292,0.015463051734678915,0.00013389166423124292
PA,guesthost_TrpDL,1,2,0.530481857848271,-1401.2892066745271,0.49795088542133,0.00857067467443974,0.030139626229933665,0.000663739347293005,0.030139626229933665,0.000663739347293005
PA,guesthost_TrpDL,1,3,0.7505646043614894,-333.1585481138321,0.5440864535949372,0.01882004914532808,0.03012821625701286,0.0011427537246391536,0.03012821625701286,0.0011427537246391536
PA,guesthost_TrpDL,2,0,0.5253061531386358,-281.9259655833995,0.6820843605827233,0.031724396020951166,0.005548078909101383,0.00027758164982862694,0.005548078909101383,0.00027758164982862694
PA,guesthost_TrpDL,2,1,0.9849863511936237,-7653.368818377817,0.9749707441506951,0.003906000506204328,0.013288594694263321,3.849901684629729e-05,0.013288594694263321,3.849901684629729e-05
PA,guesthost_TrpDL,2,3,0.6021678583155385,-504.5057414138523,0.7597250883012159,0.027995212837006983,0.005541458752745187,0.00019546507061659084,0.005541458752745187,0.00019546507061659084
PA,guesthost_TrpDL,0,1,0.5183010024117654,-13414.224469670873,0.4513285431004876,0.00240264668708758,0.35332486312799244,0.0025171156799597785,0.35332486312799244,0.0025171156799597785
PA,guesthost_TrpDL,0,2,0.7424738475163485,-484.7536980857127,0.5006990755182696,0.014027034173039729,0.8496520709141676,0.02686250320887889,0.8496520709141676,0.02686250320887889
PA,guesthost_TrpDL,0,3,0.7722894166629345,-145.63670912813137,0.525207126293213,0.025999404486421664,1.0520209724063128,0.05955689624698786,1.0520209724063128,0.05955689624698786
PA,guesthost_TrpDL,1,0,0.4220181602988715,-10052.301424236171,0.48800507275761634,0.0029891299984858358,0.015463051734678915,0.00013389166423124292,0.015463051734678915,0.00013389166423124292
PA,guesthost_TrpDL,1,2,0.530481857848271,-1401.2892066745271,0.49795088542133,0.00857067467443974,0.030139626229933665,0.000663739347293005,0.030139626229933665,0.000663739347293005
PA,guesthost_TrpDL,1,3,0.7505646043614894,-333.1585481138321,0.5440864535949372,0.01882004914532808,0.03012821625701286,0.0011427537246391536,0.03012821625701286,0.0011427537246391536
PA,guesthost_TrpDL,2,0,0.5253061531386358,-281.9259655833995,0.6820843605827233,0.031724396020951166,0.005548078909101383,0.00027758164982862694,0.005548078909101383,0.00027758164982862694
PA,guesthost_TrpDL,2,1,0.9849863511936237,-7653.368818377817,0.9749707441506951,0.003906000506204328,0.013288594694263321,3.849901684629729e-05,0.013288594694263321,3.849901684629729e-05
PA,guesthost_TrpDL,2,3,0.6021678583155385,-504.5057414138523,0.7597250883012159,0.027995212837006983,0.005541458752745187,0.00019546507061659084,0.005541458752745187,0.00019546507061659084
PA,guesthost_TrpDL,0,1,0.5183010024117654,-13414.224469670873,0.4513285431004876,0.00240264668708758,0.35332486312799244,0.0025171156799597785,0.35332486312799244,0.0025171156799597785
