nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Tyr,0,1,0.9673024588231062,-32582.874595253405,0.7806877149540326,0.0023658921869646366,0.019481131850544956,9.0786972418835e-05,0.05736432384073388,0.0004972467343255696,0.4012160471852065,0.003051041413660821,0.03822416756995152,0.00015295763246418658
PA,guesthost_Tyr,0,2,0.9674336600579392,-11890.792017074342,0.7628107973398887,0.0038774954046421413,0.01470605379830233,0.0001225365078367865,0.0663594000958647,0.0009343877992111705,0.31800553582521307,0.003676411408981159,0.03232059320813145,0.00021342601737412453
PA,guesthost_Tyr,0,3,0.9396997765112723,-1036.0172567017453,0.999999999999979,0.031721329795366564,0.004749154621847165,0.00018255831605380794,0.07570249431487655,0.0030632537525485037,0.5329159971503503,0.023840867713077914,0.04509222486642823,0.0017415261527981688
PA,guesthost_Tyr,1,0,0.835261232232832,-14625.260815073218,0.9999999951183155,0.02448942053149875,0.0022451814611766127,9.834320851223853e-05,0.29153190846135507,0.028665964337318675,0.005328270506429914,0.00012095285718678782,0.003798542319754209,3.061130601060809e-05
PA,guesthost_Tyr,1,2,0.8868967891849219,-54957.06136266824,0.9999999704239514,0.013255113555588192,0.002251099502431758,4.984467603389331e-05,0.394328389412868,0.01688537888023423,0.005096528485147256,4.802384631583042e-05,0.004260805304998051,1.64813854734072e-05
PA,guesthost_Tyr,1,3,0.9802881330925536,-9563.391471597395,0.9328249154845037,0.021720468476672097,0.004913461054193623,0.0001127744220690861,0.2585316566373523,0.025925275063764706,0.010344181762442861,0.00025737819646285374,0.007257697340216807,2.1500295572804538e-05
PA,guesthost_Tyr,2,0,0.8971882388579344,-9547.266865360401,0.9999999999999999,0.031586506394654316,0.0024895499238436723,0.00010656798688711598,0.2592418676267348,0.011509285256732758,0.010808158640141443,0.00019760613300459802,0.00529147715531997,3.69645934783608e-05
PA,guesthost_Tyr,2,1,0.9951690216436165,-127070.88966825101,0.2716134575350325,0.0029196286368249526,0.004197234915102491,7.637112393815139e-05,0.9008214112741428,0.0033326923417152424,0.0120311449109343,1.4516226582506382e-05,0.011977938425289306,6.017615283280912e-06
PA,guesthost_Tyr,2,3,0.8474377365024746,-8468.097275693008,0.9999999999999999,0.021091419749278507,0.0028739051140360943,7.967233387552592e-05,0.1078542910550638,0.007948022531203521,0.012982539905780117,0.0004012684605684766,0.004274127751668083,3.1759050835549636e-05
PA,guesthost_Tyr,0,1,0.9673024588231062,-32582.874595253405,0.7806877149540326,0.0023658921869646366,0.019481131850544956,9.0786972418835e-05,0.05736432384073388,0.0004972467343255696,0.4012160471852065,0.003051041413660821,0.03822416756995152,0.00015295763246418658
PA,guesthost_Tyr,0,2,0.9674336600579392,-11890.792017074342,0.7628107973398887,0.0038774954046421413,0.01470605379830233,0.0001225365078367865,0.0663594000958647,0.0009343877992111705,0.31800553582521307,0.003676411408981159,0.03232059320813145,0.00021342601737412453
PA,guesthost_Tyr,0,3,0.9396997765112723,-1036.0172567017453,0.999999999999979,0.031721329795366564,0.004749154621847165,0.00018255831605380794,0.07570249431487655,0.0030632537525485037,0.5329159971503503,0.023840867713077914,0.04509222486642823,0.0017415261527981688
